,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,-12.9,1.2,0,,0.0,ESE,104,16:33,-5.3,70,,S,22,1006.0,-3.3,65,,E,69,1002.7
,2024-08-2,-8.5,1.1,0,,0.0,E,154,07:39,-0.2,63,,SSE,22,985.0,-1.6,73,,E,89,983.4
,2024-08-3,-4.1,2.3,0,,0.0,E,72,11:42,-1.4,58,,E,35,1003.8,-2.9,92,,SE,6,1008.1
,2024-08-4,-7.8,-4.5,0.4,,2.3,ENE,41,18:16,-7.3,85,,NNE,20,1009.2,-6.0,77,,NNE,22,1005.8
,2024-08-5,-13.8,-9.3,0,,1.8,NE,30,19:28,-11.9,58,,E,2,1004.4,-11.1,66,,NE,6,1005.0
,2024-08-6,-19.7,-12.3,0,,4.4,E,54,06:11,-18.4,53,,ESE,15,1004.7,-16.2,50,,ESE,19,1004.1
,2024-08-7,-20.2,-9.2,0,,4.0,E,154,00:04,-12.6,40,,E,24,993.5,-12.8,36,,ESE,22,992.4
,2024-08-8,-15.0,-7.8,0,,0.0,E,167,10:43,-9.7,85,,E,107,988.1,-8.2,66,,E,109,990.9
,2024-08-9,-10.3,-5.0,0,,0.0,E,150,03:43,-8.9,67,,E,117,993.1,-5.6,39,,E,94,995.4
,2024-08-10,-14.4,-12.8,0,,0.0,NE,39,18:49,-13.8,77,,NNE,6,1006.4,-15.6,77,,SE,11,1009.2
,2024-08-11,-18.8,-15.6,0,,0.0,NNE,28,05:33,-18.6,82,,S,19,1015.0,-16.5,83,,NE,22,1014.4
,2024-08-12,-21.0,-17.7,0,,0.0,ENE,33,08:27,-19.2,83,,ENE,22,1007.6,-20.6,83,,NE,17,1004.9
,2024-08-13,-22.7,-18.8,0,,0.0,E,22,01:28,-19.1,81,,E,11,1001.8,-19.5,81,,S,13,1000.8
,2024-08-14,-25.9,-16.9,0,,1.9,SSE,46,10:21,-22.5,72,,SSE,20,998.9,-22.7,77,,S,11,998.4
,2024-08-15,-24.4,-10.9,0,,2.7,E,31,23:48,-18.5,40,,SSE,13,1008.5,-17.9,45,,SSE,4,1011.5
,2024-08-16,-20.6,-3.7,0,,0.0,ENE,111,23:23,-12.6,67,,NNW,9,1015.8,-11.5,86,,S,19,1012.1
,2024-08-17,-12.8,0.4,1.8,,0.0,ENE,107,17:45,-4.2,73,,NNW,11,1002.7,-3.6,83,,ENE,70,998.7
,2024-08-18,-4.5,0.6,5.0,,0.0,ENE,115,21:38,-1.7,91,,ENE,69,990.8,-1.6,83,,E,70,986.0
,2024-08-19,-3.5,-3.1,9.8,,0.0,E,87,01:05,-3.2,92,8,SSW,19,981.6,-4.7,92,,NE,7,981.9
,2024-08-20,-7.4,-3.4,11.0,,2.7,NE,31,01:48,-5.9,66,,SSE,13,986.3,-12.3,70,,S,19,983.7
,2024-08-21,-20.0,-12.4,0,,6.9,SSE,28,02:35,-18.9,71,,S,19,979.9,-17.9,65,6,SSE,6,982.0
,2024-08-22,-20.3,-15.8,0,,0.0,NNW,46,20:29,-18.4,71,,S,15,987.6,-19.9,78,,SE,17,986.5
,2024-08-23,-21.1,-17.4,0.2,,0.0,N,46,11:50,-18.5,72,,N,26,985.3,-18.9,72,,NE,17,986.6
,2024-08-24,-20.7,-17.7,0,,0.0,S,28,20:40,-17.7,83,,NNE,2,993.5,-19.9,77,,SSE,13,995.6
,2024-08-25,-26.8,-11.5,0,,0.0,SE,31,23:26,-20.9,54,,SSE,17,990.3,-18.8,56,,SSE,24,987.2
,2024-08-26,-21.8,-11.1,0,,0.0,SSE,69,16:51,-12.5,75,,S,24,983.5,-14.3,82,8,SSE,39,982.5
,2024-08-27,-25.2,-20.6,0,,2.8,SSE,104,13:15,-23.6,73,,S,52,983.7,-26.4,74,,SSE,63,978.0
,2024-08-28,-27.7,-10.7,0,,7.4,E,96,21:07,-23.7,57,,ESE,54,971.6,-22.5,57,,SSE,22,971.7
,2024-08-29,-24.0,-10.3,0,,3.0,E,106,01:44,-17.5,72,,SSE,50,976.6,-16.5,73,,SSE,41,977.8
,2024-08-30,-18.0,-12.2,0,,5.5,SSE,46,01:22,-17.5,78,,S,13,983.9,-15.5,73,,SSE,26,984.1
,2024-08-31,-20.4,-11.8,0,,6.5,SSE,31,19:15,-18.0,48,,SSE,13,984.3,-15.4,56,,S,17,984.0
