,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,-20.0,-9.7,0,,0.0,ESE,111,23:21,-16.1,40,,ESE,31,987.7,-19.7,61,,SE,30,983.4
,2024-07-2,-20.8,-5.2,0,,0.0,E,146,10:02,-11.9,80,,ESE,89,965.4,-10.9,86,,E,117,959.0
,2024-07-3,-12.1,-6.2,0,,0.0,E,126,01:04,-7.2,62,,SE,13,961.2,-7.8,56,,E,41,965.1
,2024-07-4,-13.7,-11.6,0,,0.0,WNW,52,18:30,-11.7,70,,W,19,977.0,-13.1,72,,NNW,20,979.6
,2024-07-5,-21.9,-16.7,0,,0.0,E,43,22:54,-21.0,75,,NE,15,977.9,-18.7,73,,NNE,6,975.0
,2024-07-6,-20.6,-16.6,0,,0.0,ESE,56,23:03,-16.8,57,,ENE,24,982.9,-16.8,52,,ENE,31,985.8
,2024-07-7,-23.1,-19.4,0,,0.0,E,39,07:57,-19.8,55,,E,26,991.8,-22.7,50,,E,31,990.5
,2024-07-8,-28.9,-14.0,0,,0.0,SSE,31,15:37,-26.4,58,,SSE,13,972.5,-23.4,66,,SSE,22,967.2
,2024-07-9,-27.0,-6.1,0.8,,0.0,E,137,00:52,-20.4,78,,NNE,28,964.4,-20.4,75,,E,61,971.8
,2024-07-10,-21.0,-7.8,0,,0.0,E,139,01:12,-12.8,70,7,SSE,56,961.4,-17.5,72,,S,28,953.1
,2024-07-11,-17.6,-7.2,0.4,,0.0,NE,106,01:09,-8.2,77,,NE,41,975.6,-9.2,74,,NNE,4,980.5
,2024-07-12,-15.5,-11.0,0,,0.0,NE,24,00:53,-12.1,75,,NNE,6,987.0,-12.3,89,,NNE,13,990.1
,2024-07-13,-16.0,-4.5,0,,0.0,ENE,154,23:56,-13.1,73,,N,19,988.4,-11.8,76,8,NNE,19,985.5
,2024-07-14,-13.4,-3.5,0,,0.0,ENE,144,01:27,-5.6,85,,ENE,72,982.4,-8.3,88,,N,43,989.9
,2024-07-15,-9.2,-0.1,0,,0.0,ENE,144,07:48,-5.0,85,,ENE,113,969.6,-0.8,93,,NE,85,965.5
,2024-07-16,-10.9,-3.3,2.4,,0.0,NE,89,20:14,-10.7,88,,NNE,26,983.2,-7.0,84,,ENE,20,985.1
,2024-07-17,-11.8,-5.8,1.0,,0.0,E,89,00:52,-8.7,87,,N,35,984.0,-10.9,85,,SSE,20,986.7
,2024-07-18,-12.4,-3.6,3.2,,0.0,E,115,03:04,-7.6,76,,ENE,59,984.8,-7.4,78,,E,74,983.3
,2024-07-19,-15.5,-9.5,0,,0.4,E,93,00:53,-14.0,68,,S,11,977.6,-14.7,68,,S,11,974.8
,2024-07-20,-20.0,-6.8,0,,0.0,E,141,06:09,-11.9,82,,SE,54,972.6,-9.7,65,,SSE,33,976.3
,2024-07-21,-17.8,0.3,0,,2.9,SSE,54,11:47,-15.6,64,2,S,24,962.7,-18.9,72,,S,20,961.3
,2024-07-22,-19.4,1.7,0,,0.0,E,78,10:07,-5.6,57,4,SE,20,974.2,-2.4,58,7,SE,30,980.0
,2024-07-23,-8.5,-3.7,0,,0.0,E,80,17:32,-6.4,76,,S,15,993.0,-4.8,53,,SSE,24,996.7
,2024-07-24,-8.7,-4.4,0.8,,0.0,E,56,05:35,-7.7,75,,SE,26,999.5,-7.5,62,, ,Calm,997.4
,2024-07-25,-12.3,-8.3,0.6,,0.0,ENE,30,09:31,-9.4,75,,E,7,996.7,-11.0,86,,NE,13,997.3
,2024-07-26,-17.4,-12.9,1.0,,0.2,SSE,28,21:48,-16.9,83,,S,17,997.9,-16.9,81,,ESE,9,998.9
,2024-07-27,-20.1,-12.9,0,,0.0,SSE,31,16:33,-13.9,71,,SSW,7,1006.3,-15.8,75,,S,22,1005.6
,2024-07-28,-18.9,-14.6,0,,0.0,SSE,31,01:41,-17.0,82,8,SSE,7,994.1,-17.9,65,,S,4,991.1
,2024-07-29,-24.1,-9.3,0,,0.5,SSE,31,11:09,-21.7,58,,SSE,20,986.0,-21.7,58,,S,9,985.0
,2024-07-30,-24.0,-7.0,0,,0.8,E,41,12:46,-10.9,63,, ,Calm,987.1,-7.6,57,7,SSW,20,988.0
,2024-07-31,-16.0,-4.0,0,,3.7,E,26,01:00,-12.4,54,,E,7,989.3,-10.8,69,,E,6,993.8
