,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,-25.7,-17.0,0,,0.0,SE,41,17:21,-19.3,46,,SE,24,979.7,-17.8,55,,SE,19,978.3
,2024-06-2,-22.7,-17.3,0,,0.0,E,26,01:27,-18.7,68,,S,6,982.4,-19.9,56,,ENE,9,984.1
,2024-06-3,-22.2,-9.4,0,,0.0,SSE,28,14:39,-19.1,60,,SSE,9,984.5,-19.5,64,,S,20,982.0
,2024-06-4,-22.2,-8.1,0.2,,0.0,SE,28,07:01,-11.2,85,,SSE,19,977.1,-11.7,83,,SSW,7,976.6
,2024-06-5,-13.9,-10.5,0.8,,0.0,NNE,22,12:36,-11.8,89,,S,4,976.0,-11.1,89,,N,15,975.2
,2024-06-6,-13.2,-11.4,0,,,,,,-12.0,66,,NNE,13,978.9,-11.6,72,,NNE,17,981.8
,2024-06-7,-23.3,-19.1,2.0,,0.0,NE,26,17:11,-21.3,76,,ENE,13,989.5,-22.2,80,,NE,15,989.6
,2024-06-8,-27.1,-9.2,0,,0.0,S,83,00:45,-24.1,76,,E,9,983.5,-25.5,64,,S,17,983.4
,2024-06-9,-27.8,-13.2,0,,0.0,ESE,96,07:03,-16.7,73,,SSW,24,984.0,-16.3,72,8,SSE,7,982.1
,2024-06-10,-24.7,-21.3,2.2,,0.0,S,93,17:51,-22.2,78,,SSE,43,971.8,-25.7,75,,S,56,971.4
,2024-06-11,-27.2,-15.1,0,,0.0,S,80,01:43,-22.9,70,,SSE,24,975.6,-19.6,65,,SSE,19,976.7
,2024-06-12,-21.6,-12.6,0,,0.0,SSE,26,05:34,-21.2,62,,SSE,11,990.5,-20.1,65,,SSE,4,988.1
,2024-06-13,-21.6,-11.1,5.8,,0.0,WNW,44,11:32,-13.5,86,,SSE,15,982.4,-12.3,80,,WNW,17,985.7
,2024-06-14,-14.0,-11.5,0.2,,0.0,SSW,24,16:51,-13.5,74,,WNW,6,998.1,-12.9,76,,SSW,15,1001.5
,2024-06-15,-17.0,-14.2,2.6,,0.0,S,30,22:07,-16.7,83,,SSW,11,1006.7,-16.0,81,,S,11,1006.0
,2024-06-16,-17.7,-15.5,2.8,,0.0,SSE,22,01:06,-14.7,85,, ,Calm,1007.4,-19.0,81,, ,Calm,1004.2
,2024-06-17,-21.5,-15.1,0,,0.0,SSE,28,05:16,-20.4,80,,S,15,991.1,-20.8,74,,S,9,989.7
,2024-06-18,-23.1,-18.2,0,,0.0,S,26,12:16,-19.1,57,,SSE,6,992.8,-20.5,65,,S,4,990.9
,2024-06-19,-25.6,-20.2,0,,0.0,SSE,41,21:44,-23.5,75,,SSE,17,983.2,-23.3,76,,S,17,982.4
,2024-06-20,-28.0,-24.3,0,,0.0,S,83,23:01,-27.2,75,,S,26,983.9,-28.3,74,,SSE,33,983.1
,2024-06-21,-29.1,-13.7,0,,0.0,S,98,07:11,-26.9,70,,S,70,990.0,-24.7,63,,S,19,984.5
,2024-06-22,-29.2,-14.9,0,,0.0,E,26,10:25,-14.4,82,8,SE,19,980.8,-17.8,77,,ESE,9,980.1
,2024-06-23,-20.4,-16.2,3.0,,0.0,NNE,28,23:09,-20.0,83,,NE,15,986.6,-25.2,77,,S,9,991.0
,2024-06-24,-27.0,-11.2,2.2,,0.0,N,43,05:54,-18.5,81,,S,20,993.5,-16.2,84,8,S,15,988.6
,2024-06-25,-19.0,-13.3,10.8,,0.0,W,31,22:14,-14.2,84,8, ,Calm,986.6,-14.3,83,8,ENE,19,982.8
,2024-06-26,-24.9,-16.9,0,,0.0,NE,41,10:25,-22.7,77,,NE,30,978.2,-20.8,69,,NE,31,983.5
,2024-06-27,-24.1,-17.3,0,,0.0,NE,24,01:43,-18.1,81,,NE,6,990.8,-19.8,77,,ENE,7,993.3
,2024-06-28,-25.5,-20.6,0,,0.0,SSE,85,21:06,-22.3,71,,SSE,7,986.7,-24.9,73,,S,37,991.1
,2024-06-29,-29.3,-11.4,0,,0.0,S,93,14:04,-27.4,73,,S,54,1003.9,-27.2,73,,S,59,1004.1
,2024-06-30,-27.6,-11.3,0,,0.0,SE,96,21:33,-17.3,64,,S,31,1006.5,-18.5,79,,S,50,1003.1
