,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,-22.0,-15.2,0,,3.1,SSE,28,15:45,-15.8,79,,SSE,9,979.1,-16.6,72,,SSE,19,978.2
,2024-10-2,-19.8,-15.7,0,,0.3,SSE,28,23:01,-18.5,68,,SE,9,981.4,-18.3,70,,SSE,13,984.9
,2024-10-3,-21.0,-15.9,0,,0.2,ENE,35,08:01,-16.5,71,7,ESE,19,998.4,-18.0,71,8,SSE,20,998.5
,2024-10-4,-19.9,-13.3,0,,8.4,NNE,20,03:50,-18.1,73,,NE,9,992.5,-15.1,70,3,SSE,6,985.8
,2024-10-5,-22.8,-13.2,0,,7.4,S,67,22:28,-18.5,63,,SE,13,974.6,-15.4,62,,SSE,13,973.3
,2024-10-6,-26.1,-20.8,0,,6.5,SSE,94,03:48,-25.3,74,,S,65,971.4,-22.3,59,,S,63,975.7
,2024-10-7,-27.0,-17.8,0,,11.0,S,80,04:50,-25.3,71,,S,46,981.1,-21.4,73,,S,41,982.9
,2024-10-8,-24.7,-13.1,0,,3.8,S,31,23:14,-21.3,60,,SSE,15,988.6,-16.3,55,,SE,6,985.3
,2024-10-9,-18.2,-9.0,0,,8.2,ENE,33,17:59,-14.0,72,,N,19,979.9,-12.1,63,,N,6,978.5
,2024-10-10,-19.1,-7.5,0,,10.7,S,24,04:25,-11.9,39,,SE,7,981.7,-8.4,47,6,SSE,4,983.3
,2024-10-11,-17.6,-10.1,0,,10.2,E,30,06:02,-12.6,61,,SSE,11,989.5,-11.7,64,,SSE,7,988.9
,2024-10-12,-20.0,-12.4,0,,0.0,NW,19,01:30,-16.1,66,,N,7,994.1,-13.3,68,,NNE,13,992.8
,2024-10-13,-22.0,-13.2,0,,10.6,SW,44,12:09,-18.4,75,,SW,15,993.1,-17.3,56,2,SSW,35,993.7
,2024-10-14,-19.3,-10.2,0.8,,0.0,NNE,31,05:40,-15.2,81,,E,15,991.7,-12.8,80,,E,9,991.1
,2024-10-15,-15.2,-7.7,0.4,,8.1,NNE,20,02:53,-11.3,73,,NE,9,996.0,-10.9,78,,ESE,6,997.5
,2024-10-16,-20.0,-5.6,0,,12.8,NE,39,20:28,-16.5,60,,S,26,996.8,-11.8,71,,SSE,26,994.0
,2024-10-17,-18.0,-8.7,0,,12.9,SSE,30,22:11,-13.1,49,,SSW,2,988.3,-12.9,69,,N,11,985.0
,2024-10-18,-19.4,-9.1,0,,13.1,E,41,22:35,-16.8,58,,E,13,980.3,-12.5,69,,E,13,977.7
,2024-10-19,-18.2,-5.7,0,,0.0,SSE,31,01:04,-9.3,47,, ,Calm,975.6,-9.1,55,,S,9,975.8
,2024-10-20,-11.1,-5.5,0.2,,1.0,ENE,72,05:06,-6.2,67,,NE,48,983.3,-6.2,74,,NNE,22,989.5
,2024-10-21,-8.5,-5.7,0.2,,0.0,NE,28,00:27,-6.8,79,8,NE,11,1000.3,-6.4,80,8,NE,6,1000.3
,2024-10-22,-10.6,-7.9,0.2,,0.0,WNW,26,01:43,-10.1,76,8,NE,13,998.1,-9.1,76,,NE,11,995.4
,2024-10-23,-11.5,-9.8,0,,0.0,NE,46,00:36,-11.4,79,,NNE,20,989.1,-10.0,77,,N,9,989.0
,2024-10-24,-16.6,-8.5,0,,12.7,NE,43,01:04,-15.2,63,,E,15,997.4,-11.1,59,,E,11,997.6
,2024-10-25,-19.4,-4.0,0,,6.6,E,144,21:04,-14.5,62,,S,20,994.0,-7.4,67,,S,31,989.0
,2024-10-26,-11.9,-2.2,2.2,,0.0,E,141,18:14,-7.1,77,,S,22,987.5,-6.7,86,,S,30,986.5
,2024-10-27,-7.5,-2.7,0,,0.0,E,133,07:30,-3.9,63,8,W,19,979.7,-4.3,78,,E,69,977.5
,2024-10-28,-5.6,-1.5,0,,1.3,ENE,91,02:22,-3.7,68,,E,69,987.6,-2.1,60,,E,44,991.7
,2024-10-29,-5.6,,0.6,,,,,,-4.1,89,,N,11,996.7,-3.1,85,, ,Calm,994.8
