,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,-18.5,-13.6,0,,2.7,S,20,01:01,-13.5,60,,S,9,979.9,-16.9,65,,S,7,976.5
,2024-09-2,-21.3,-11.1,0,,0.0,E,100,23:43,-19.3,49,,E,9,972.0,-17.2,51,,S,20,974.6
,2024-09-3,-18.9,-10.3,3.4,,0.0,E,104,02:24,-12.9,85,,S,13,986.8,-14.3,78,,S,24,988.5
,2024-09-4,-17.8,-9.1,0.8,,1.2,E,57,18:29,-11.6,59,,E,39,984.1,-10.9,61,,E,43,981.3
,2024-09-5,-13.8,-9.6,0,,0.0,E,67,02:19,-10.3,66,,SSE,11,979.9,-9.8,71,,SE,13,980.9
,2024-09-6,-18.7,-11.5,0.4,,3.7,ENE,20,17:43,-16.4,73,,ENE,6,983.2,-14.5,76,, ,Calm,983.0
,2024-09-7,-20.6,-11.8,0,,3.8,ENE,20,12:33,-16.3,62,,ENE,7,987.4,-13.5,66,,E,13,989.2
,2024-09-8,-16.2,-11.8,0,,0.9,ENE,19,21:57,-13.5,77,,E,11,987.5,-14.8,75,,E,11,986.3
,2024-09-9,-24.8,-17.5,0,,0.8,ENE,31,15:54,-21.5,71,,SSE,11,983.2,-18.5,68,,E,6,983.1
,2024-09-10,-23.0,-21.9,0,,0.0,ENE,39,20:54,-22.5,74,,E,7,978.9,-23.5,74,,SSE,15,978.8
,2024-09-11,-30.7,-20.1,0,,5.9,SSE,65,13:44,-28.3,70,,S,31,971.1,-22.1,77,,S,37,966.3
,2024-09-12,-28.4,-19.3,0,,2.6,W,43,05:58,-20.4,76,,NW,30,960.0,-19.8,74,,NW,28,961.8
,2024-09-13,-23.2,-9.2,0,,0.0,ENE,100,18:46,-21.1,73,,E,24,974.1,-16.6,83,,S,13,963.5
,2024-09-14,-21.0,-10.8,2.0,,0.5,NE,65,03:19,-13.3,74,,E,41,972.3,-13.8,74,,S,17,975.5
,2024-09-15,-25.9,-6.4,0.2,,0.0,NW,30,00:05,-22.2,78,,WSW,9,997.4,-17.1,62,,WSW,11,996.1
,2024-09-16,-22.2,-6.4,3.6,,0.0,ENE,94,12:07,-7.3,83,,ENE,67,979.6,-7.0,80,,ENE,54,977.3
,2024-09-17,-14.1,-13.2,4.4,,0.0,ENE,44,09:15,-13.9,66,,ENE,35,976.3,-14.0,62,,E,11,973.1
,2024-09-18,-21.3,-15.5,0,,5.7,NNE,39,19:05,-18.5,75,,NE,9,978.7,-15.6,62,,SE,15,982.1
,2024-09-19,-22.0,-16.2,0,,0.0,ESE,30,19:28,-20.1,74,,S,15,989.0,-17.5,70,,S,9,988.6
,2024-09-20,-25.2,-12.5,0.2,,6.7,NE,50,09:48,-18.8,59,,N,17,976.2,-16.4,60,,SSE,17,971.7
,2024-09-21,-17.1,-10.7,7.8,,0.0,E,98,09:07,-13.5,84,,E,70,970.5,-13.2,79,,E,57,973.9
,2024-09-22,-15.6,-11.2,1.0,,0.8,NE,20,02:07,-12.9,77,,ENE,7,979.8,-12.5,71,, ,Calm,982.8
,2024-09-23,-15.6,-12.0,0.1,,7.2,ESE,26,06:01,-14.9,75,,S,15,994.5,-13.5,62,,SSE,11,996.2
,2024-09-24,-24.3,-12.3,0,,10.7,SSE,31,18:51,-17.4,55,,SE,13,1001.5,-15.8,59,,S,15,1002.5
,2024-09-25,-22.2,-11.2,0,,9.2,S,39,23:58,-15.5,48,, ,Calm,1003.6,-13.5,51,, ,Calm,1000.7
,2024-09-26,-19.1,-12.4,0,,6.5,S,43,04:22,-12.2,44,,SE,9,998.1,-13.9,68,,N,9,998.4
,2024-09-27,-22.2,-13.2,0,,11.5,NE,37,17:30,-17.9,68,,SE,6,990.9,-15.2,66,,SE,11,985.5
,2024-09-28,-23.8,-16.3,0,,9.2,E,50,21:16,-20.6,60,,SE,11,986.1,-16.3,53,,ENE,15,986.9
,2024-09-29,-24.3,-12.3,0,,5.7,E,41,03:17,-20.6,56,,S,7,987.7,-16.0,69,,S,19,985.8
,2024-09-30,-19.9,-10.0,0,,8.7,SSE,20,22:29,-13.7,58,, ,Calm,983.3,-10.7,56,, ,Calm,982.7
