,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,-22.6,-9.0,0,,0.0,NE,41,22:58,-15.3,61,,NE,19,1002.3,-13.5,58,,ENE,24,1003.7
,2024-08-2,-16.1,-3.2,0,,0.0,NE,106,20:02,-9.0,66,,ENE,15,997.1,-5.3,69,,NE,63,990.4
,2024-08-3,-9.5,-0.3,0,,0.0,NE,117,07:57,-4.6,88,,NNE,83,995.8,-3.4,90,,NE,74,1004.8
,2024-08-4,-5.5,-3.7,0,,2.4,NE,70,00:12,-5.5,67,,SSE,13,1021.8,-5.7,60,,ESE,20,1021.5
,2024-08-5,-9.5,-5.4,0,,4.2,E,89,16:30,-7.4,49,,E,30,1021.1,-6.9,45,,E,37,1021.1
,2024-08-6,-10.7,-7.0,0,,5.6,SE,61,03:14,-8.4,48,,ENE,28,1014.1,-7.9,45,,SE,19,1016.0
,2024-08-7,-15.5,-10.5,0,,4.8,ESE,85,14:13,-13.9,49,3,ESE,13,1000.9,-17.2,66,,ESE,41,988.8
,2024-08-8,-19.4,-4.9,0,,1.2,E,56,05:06,-14.3,46,,ESE,17,996.2,-10.9,45,,E,6,992.6
,2024-08-9,-15.4,-6.9,0,,0.0,ENE,83,05:43,-7.4,59,,ENE,50,991.6,-7.2,62,,ENE,56,991.8
,2024-08-10,-11.4,-8.6,0.6,,0.0,NE,63,16:39,-10.9,83,,NE,19,998.0,-9.3,72,,NE,44,1000.2
,2024-08-11,-10.8,-10.4,0,,0.0,NE,76,19:28,-11.0,77,,NE,50,1004.8,-11.3,67,,NE,50,1007.0
,2024-08-12,-12.1,-10.2,0,,0.0,NNE,76,01:43,-10.9,65,,NNE,26,1005.4,-13.4,66,,SE,9,1003.9
,2024-08-13,-15.9,-5.8,0,,0.0,ENE,39,20:48,-13.8,53,,E,15,1000.4,-14.0,49,,ESE,15,998.4
,2024-08-14,-14.8,-6.5,0,,0.5,NE,106,20:06,-6.8,53,7,ENE,59,985.0,-9.7,79,,NE,44,988.9
,2024-08-15,-11.6,-9.3,0,,0.0,NE,128,22:42,-10.9,63,,NE,28,999.5,-10.4,69,,NE,28,997.8
,2024-08-16,-11.5,-5.8,0,,,NE,120,00:11,-10.5,77,,NE,80,981.1,-8.7,78,,NE,74,972.4
,2024-08-17,-10.6,-3.6,,,0.0,NE,120,00:48,-7.4,87,,SSW,13,966.1,-6.0,81,,S,13,957.2
,2024-08-18,-10.1,-5.2,0.4,,0.1,ESE,57,18:15,-7.2,89,,S,9,985.2,-7.5,62,,ESE,26,987.2
,2024-08-19,-15.9,-4.4,0,,3.8,SE,39,23:19,-8.6,63,,ESE,13,983.1,-5.7,60,,E,28,985.2
,2024-08-20,-15.0,-8.0,0,,1.2,E,31,23:04,-11.1,54,,ESE,6,989.7,-8.5,61,,NE,11,990.4
,2024-08-21,-11.9,-11.0,0,,7.2,NNE,39,22:58,-11.3,58,,NE,17,988.7,-13.1,55,,ENE,11,988.1
,2024-08-22,-15.8,-12.7,0,,0.0,NE,54,05:18,-13.5,61,,NNE,17,991.0,-13.5,62,,N,13,992.4
,2024-08-23,-20.7,-18.3,0,,6.8,ENE,26,23:03,-20.1,46,,ENE,13,992.2,-20.4,55,,NE,15,992.9
,2024-08-24,-22.6,-15.6,0,,5.8,NE,24,02:07,-20.6,45,,ENE,11,996.0,-18.1,44,,SSE,13,996.1
,2024-08-25,-21.8,-12.5,0,,5.7,ESE,28,09:09,-17.0,45,,ESE,15,994.0,-13.3,49,,ESE,15,993.2
,2024-08-26,-17.5,-11.7,0,,7.7,SE,24,22:33,-15.1,56,,E,15,993.2,-12.6,49,,ENE,9,996.7
,2024-08-27,-19.1,-11.3,0,,8.0,ESE,46,22:21,-16.6,45,,SSE,9,1007.1,-16.0,44,,ESE,15,1010.5
,2024-08-28,-18.3,-10.5,0,,1.7,ESE,63,04:10,-12.5,31,,ESE,26,1012.6,-11.7,41,,ESE,19,1008.4
,2024-08-29,-13.7,-10.3,0,,2.2,NNE,39,14:39,-12.6,47,,E,11,997.2,-11.6,42,,NNE,24,990.2
,2024-08-30,-16.1,-9.7,0,,2.6,ENE,48,08:54,-10.5,33,,ENE,31,987.4,-10.9,42,,NE,28,988.8
,2024-08-31,-13.6,-9.0,0,,7.8,ENE,57,03:29,-10.2,31,,NE,20,993.8,-11.5,38,,ENE,9,995.8
