,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,-11.1,-10.2,0,,0.0,ENE,43,23:01,-10.4,44,,ESE,20,1003.8,-12.0,46,,ESE,22,1000.2
,2024-07-2,-14.6,-13.5,0,,0.0,ESE,46,16:29,-14.1,46,,ESE,28,992.9,-15.4,44,,ESE,26,990.3
,2024-07-3,-18.0,-16.5,0,,0.0,ESE,52,00:30,-17.2,47,,ESE,24,989.5,-18.9,48,,ESE,22,990.7
,2024-07-4,-20.0,-19.2,0,,0.0,E,30,17:30,-19.3,48,,ESE,20,995.5,-20.3,46,,E,19,998.3
,2024-07-5,-24.0,-22.7,0,,0.0,S,33,13:05,-23.6,45,,SE,17,996.8,-24.2,47,,SE,20,994.2
,2024-07-6,-26.1,-21.4,0,,0.0,ESE,39,04:20,-23.2,52,,ESE,19,1000.1,-23.0,46,,ENE,15,1003.6
,2024-07-7,-25.1,-16.4,0,,0.0,ESE,89,16:11,-22.8,48,,SE,31,1008.7,-20.0,37,,E,59,1008.1
,2024-07-8,-23.4,-16.8,0,,0.0,E,35,01:25,-18.3,50,,ESE,17,990.8,-18.9,46,,E,20,984.0
,2024-07-9,-24.4,-19.9,0,,0.0,E,41,07:07,-25.1,46,,E,15,968.0,-25.3,45,,SE,13,971.4
,2024-07-10,-25.8,-21.3,0,,0.0,ENE,46,01:47,-24.7,41,,ESE,24,988.7,-26.1,47,,SE,17,986.5
,2024-07-11,-28.0,-12.7,0,,0.0,NNE,85,21:56,-22.1,52,,ENE,17,977.2,-18.2,66,,NE,17,974.7
,2024-07-12,-23.1,-22.7,,,0.0,NNE,100,02:46,-22.6,76,,NW,24,966.8,-22.8,77,,NNE,50,972.9
,2024-07-13,-27.4,-22.8,,,0.0,WNW,33,15:26,-25.2,71,,NNE,13,977.4,-23.8,73,,WNW,24,973.1
,2024-07-14,-31.9,-29.7,1.0,,0.0,WNW,31,23:23,-30.8,71,,WNW,9,975.4,-32.3,62,,WNW,17,981.9
,2024-07-15,-34.7,-31.5,0,,0.0,WNW,24,07:29,-32.3,58,,WNW,17,979.2,-34.9,69,,W,9,975.5
,2024-07-16,-38.4,-23.7,0,,0.0,NE,85,15:33,-35.8,68,, ,Calm,963.3,-27.1,72,,NE,61,973.7
,2024-07-17,-36.2,-11.7,0,,1.5,SSW,44,15:52,-28.1,62,,E,24,982.3,-26.8,59,,E,19,978.8
,2024-07-18,-29.1,-12.4,0,,0.0,ESE,89,21:10,-13.4,62,,ESE,24,998.5,-14.6,66,,ESE,30,1000.6
,2024-07-19,-19.9,-16.5,0,,2.3,ESE,67,23:15,-18.3,59,0,E,22,992.6,-17.4,57,,ESE,15,992.0
,2024-07-20,-25.6,-18.7,0,,2.3,ESE,83,02:50,-21.9,74,,E,33,990.9,-20.9,67,,E,39,992.1
,2024-07-21,-23.0,-18.3,0,,2.6,ESE,41,12:51,-19.5,64,,ESE,28,988.4,-20.6,59,,ESE,19,982.4
,2024-07-22,-23.4,-19.9,0,,0.0,NE,89,13:40,-21.4,50,,ENE,33,981.6,-20.4,66,,NE,46,990.3
,2024-07-23,-25.9,-12.7,,,0.0,NE,28,23:56,-24.4,77,, ,Calm,1003.1,-20.5,76,,S,15,1003.8
,2024-07-24,-27.0,-10.0,0.8,,0.0,NNE,50,22:56,-12.7,81,,ESE,13,1003.4,-10.6,78,,E,7,999.8
,2024-07-25,-14.2,-12.0,1.4,,0.0,NE,43,23:46,-12.8,57,7,SSE,11,994.8,-17.0,61,,E,15,996.1
,2024-07-26,-22.1,-14.8,0,,3.2,E,30,20:33,-21.6,62,,E,11,996.7,-20.9,59,,E,20,994.9
,2024-07-27,-22.3,-5.3,0,,0.0,E,80,17:03,-13.2,55,,E,17,992.7,-7.7,53,,E,44,993.7
,2024-07-28,-15.3,-10.9,0,,0.0,E,59,11:00,-11.9,46,,ESE,26,1004.6,-14.6,48,,ESE,28,1002.3
,2024-07-29,-19.8,-16.1,0,,4.2,E,46,02:39,-19.0,50,,E,22,996.2,-18.8,50,,E,20,994.3
,2024-07-30,-24.2,-18.9,0,,3.7,ESE,24,21:03,-22.0,51,,NNW,6,994.3,-23.1,54,,N,4,996.5
,2024-07-31,-25.0,-14.9,0,,0.0,E,30,10:01,-21.0,44,,ESE,15,998.0,-20.2,41,,ENE,11,997.1
