,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,-13.2,-10.9,0,,0.0,ESE,37,23:07,-13.1,55,,E,20,985.1,-13.8,52,,ESE,9,982.9
,2024-06-2,-17.0,-13.6,0,,0.0,E,48,00:29,-13.5,42,,NE,9,981.9,-16.2,45,,NE,13,984.3
,2024-06-3,-19.4,-17.1,0,,0.0,ENE,31,10:40,-18.9,45,1,E,13,988.4,-18.2,46,,ENE,20,988.2
,2024-06-4,-21.0,-14.8,0,,0.0,E,22,23:01,-18.6,52,,ESE,15,985.9,-18.4,56,,ESE,15,984.4
,2024-06-5,-19.7,-15.6,0,,0.0,NNE,41,14:27,-16.4,57,,NNE,19,981.8,-16.1,63,,NNE,24,982.3
,2024-06-6,-16.9,-14.8,0,,0.0,,,,-16.2,72,,NNE,11,988.8,-15.9,69,,ENE,9,992.4
,2024-06-7,-17.3,-8.0,0,,0.0,ESE,28,14:06,-17.0,69,7,,,1000.6,-21.9,56,,SE,2,1001.3
,2024-06-8,-22.2,-5.9,0,,0.0,NE,135,15:38,-7.5,41,,NE,41,982.9,-6.9,85,,NE,94,969.6
,2024-06-9,-11.2,-10.0,,,,NE,107,01:14,-10.6,63,,NE,37,974.3,-13.7,63,,N,7,988.1
,2024-06-10,-16.9,-6.8,,,0.0,E,41,22:50,-17.3,64,,E,15,996.8,-16.6,61,,ENE,2,990.7
,2024-06-11,-18.0,-6.0,3.4,,0.0,ENE,89,20:38,-9.0,81,,E,52,960.8,-8.1,73,,ENE,56,957.3
,2024-06-12,-11.4,-9.6,0,,0.0,ENE,80,23:09,-9.7,55,,E,35,973.5,-13.7,52,,E,35,980.5
,2024-06-13,-14.8,-12.5,0,,0.0,E,39,02:35,-12.8,56,,ESE,13,992.2,-13.8,61,,E,11,995.6
,2024-06-14,-19.3,-15.9,0,,0.0,NE,63,21:01,-17.6,49,,NNE,24,1000.9,-17.7,50,,NNE,28,1002.6
,2024-06-15,-18.7,-13.9,0,,0.0,NE,57,23:02,-16.0,56,,NNE,11,1003.5,-15.3,56,,S,9,1003.5
,2024-06-16,-17.4,-13.1,0,,0.0,SE,31,21:02,-14.6,65,,ESE,15,1007.6,-13.5,69,,SE,15,1007.2
,2024-06-17,-18.6,-13.6,0,,0.0,ESE,24,17:48,-18.1,53,,ESE,17,1001.3,-17.2,55,,ESE,17,999.1
,2024-06-18,-19.3,-13.0,0,,0.0,E,22,23:41,-14.0,58,,E,13,996.3,-13.9,53,,ENE,11,997.6
,2024-06-19,-16.0,-16.0,0,,0.0,NE,20,17:55,-17.1,59,,E,2,998.8,-17.7,56,,ENE,15,999.4
,2024-06-20,-19.3,-8.9,0,,0.0,NNE,46,13:18,-18.2,55,,NNE,19,999.1,-16.3,61,,NNE,20,993.2
,2024-06-21,-18.9,-11.1,2.2,,0.0,NE,46,01:36,-11.8,85,8,N,9,975.5,-12.3,84,,SW,6,976.8
,2024-06-22,-20.6,-18.3,6.0,,0.0,E,20,18:42,-20.5,79,,W,13,989.4,-20.4,79,,ENE,9,992.2
,2024-06-23,-24.2,-9.3,0,,0.0,NE,122,18:33,-19.7,75,,N,24,980.4,-12.0,85,,NNE,81,962.1
,2024-06-24,-20.3,-10.3,1.8,,0.0,NE,91,23:15,-11.5,86,,ESE,11,972.8,-13.0,58,,E,22,979.4
,2024-06-25,-21.1,-18.0,0.2,,0.0,E,35,23:36,-19.6,59,,E,17,990.1,-19.8,57,,E,22,990.6
,2024-06-26,-25.2,-20.9,0,,0.0,NNE,43,22:55,-23.5,60,7,SE,15,986.7,-21.8,61,,NE,13,988.8
,2024-06-27,-23.7,-20.9,0,,0.0,NNE,61,00:54,-21.7,49,,NE,20,991.4,-21.7,67,,S,15,991.9
,2024-06-28,-26.4,-5.7,0,,0.0,SE,26,20:11,-24.8,75,,S,13,997.9,-20.4,65,,ESE,11,998.0
,2024-06-29,-26.2,-0.7,0.8,,0.0,NE,133,13:32,-7.6,70,,ESE,19,984.7,-4.7,77,,NE,91,974.2
,2024-06-30,-6.8,-3.9,,,0.0,ENE,165,08:35,-3.5,67,,NE,57,989.7,-7.0,63,,ENE,83,999.6
