,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,-13.1,-5.2,0,,0.0,NE,98,20:39,-6.3,46,,ENE,37,977.8,-7.0,51,,E,52,971.2
,2024-05-2,-7.9,-5.5,0,,0.9,NE,93,23:04,-6.5,63,,NE,41,983.1,-6.0,51,,NE,37,987.4
,2024-05-3,-10.6,-10.1,0,,0.0,NNE,43,00:05,-10.4,62,,SE,15,993.8,-12.0,55,,SE,11,994.4
,2024-05-4,-18.1,-16.2,0,,0.7,E,28,23:02,-16.9,51,,ESE,15,993.9,-17.5,51,,ESE,11,990.8
,2024-05-5,-19.2,-13.2,0,,0.2,E,24,04:25,-17.1,49,,E,17,981.1,-15.7,58,,E,13,981.7
,2024-05-6,-17.2,-16.8,0.2,,0.0,WSW,30,11:48,-17.0,81,,SW,13,988.6,-21.1,77,,SW,17,991.8
,2024-05-7,-24.4,-22.0,0.8,,1.7,ESE,35,08:51,-22.9,70,,ESE,26,993.5,-24.3,63,,ESE,22,992.9
,2024-05-8,-25.9,-19.8,0,,2.5,E,24,16:38,-22.9,52,,SE,13,989.4,-21.3,51,,ESE,15,989.1
,2024-05-9,-24.0,-17.7,0,,4.7,ENE,24,12:52,-20.6,56,,E,17,984.9,-20.4,54,,E,17,984.9
,2024-05-10,-21.6,-7.7,0,,0.0,E,28,17:15,-21.1,55,,ESE,19,983.7,-16.7,64,,SE,13,982.6
,2024-05-11,-21.3,-7.9,0,,0.0,E,28,08:24,-9.2,56,,E,15,980.9,-9.5,60,,SE,15,982.2
,2024-05-12,-14.1,-11.2,0,,0.4,E,20,04:33,-13.9,58,,E,13,981.4,-14.7,54,,E,13,979.8
,2024-05-13,-15.4,-9.3,0.5,,0.0,ENE,57,22:41,-12.7,86,,NE,11,980.6,-12.3,82,,S,13,981.8
,2024-05-14,-14.3,-13.0,1.6,,0.0,NE,52,23:57,-13.9,65,,ENE,15,980.2,-15.4,59,,SE,11,977.6
,2024-05-15,-18.4,-15.9,0,,0.5,NE,41,01:33,-18.2,64,,ESE,13,978.3,-19.2,58,,ESE,15,978.0
,2024-05-16,-22.3,-19.5,0,,0.0,E,28,01:02,-20.2,57,,E,19,974.2,-21.5,56,,ESE,9,973.0
,2024-05-17,-23.8,-21.4,0,,1.1,S,28,23:38,-22.8,75,,WNW,9,972.8,-22.4,73,,WNW,19,977.5
,2024-05-18,-25.6,-21.3,0,,0.0,SE,31,14:18,-23.3,56,,SE,15,995.6,-21.5,63,,SE,19,997.9
,2024-05-19,-27.9,-26.0,0,,2.8,SE,24,00:07,-27.1,60,,SE,11,990.9,-27.7,57,,E,9,987.5
,2024-05-20,-29.2,-27.0,0,,3.0,E,24,00:09,-28.4,48,,ESE,13,986.4,-29.5,50,,ESE,6,987.4
,2024-05-21,-30.6,-23.0,0,,2.3,SE,19,10:19,-30.2,48,,SE,11,987.6,-30.1,48,,E,9,985.6
,2024-05-22,-30.6,-13.2,0,,0.0,SE,35,09:11,-22.3,52,,ESE,26,968.3,-19.9,58,,ESE,19,963.3
,2024-05-23,-24.3,-13.1,0,,0.0,WSW,31,19:45,-13.5,75,,S,7,963.1,-15.2,83,,SW,17,967.3
,2024-05-24,-18.2,-6.0,1.2,,0.0,ESE,35,22:28,-15.3,82,,S,11,981.6,-9.0,76,,SE,13,980.2
,2024-05-25,-16.8,-3.6,0,,0.0,NNE,57,17:37,-6.3,86,,E,9,964.0,-4.5,83,,NNE,35,961.9
,2024-05-26,-7.0,-6.9,1.6,,0.0,NE,61,05:18,-7.4,89,,NNE,28,977.2,-14.3,83,,WNW,11,984.3
,2024-05-27,-22.0,-5.3,0.4,,0.0,NE,131,18:30,-19.4,82,,NE,22,989.9,-7.6,89,,NE,70,983.0
,2024-05-28,-22.4,-1.8,,,0.0,NE,94,23:42,-5.4,83,,NNE,44,999.2,-3.3,89,,NNE,59,997.1
,2024-05-29,-5.9,-1.6,,,0.0,NE,93,20:17,-2.1,72,,NE,39,990.5,-2.3,73,,NNE,65,986.6
,2024-05-30,-5.0,-0.2,0,,0.0,NE,98,18:53,-1.0,81,,NNE,39,989.6,-1.1,66,,NE,65,991.9
,2024-05-31,-3.4,-2.3,0,,0.0,ENE,80,23:34,-3.2,42,,ENE,35,998.5,-8.7,49,,E,33,998.2
