,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,-21.5,-16.9,,,1.0,N,22,02:17,-19.9,57,,NNE,13,991.8,-19.5,66,,N,6,988.9
,2024-10-2,-20.7,-15.1,0,,2.0,NE,35,17:23,-17.3,62,,N,7,983.3,-16.2,57,,NE,22,985.6
,2024-10-3,-17.8,-16.5,0,,0.0,NNE,50,09:36,-16.8,78,,NNE,33,996.8,-19.2,76,,SW,9,1001.1
,2024-10-4,-25.5,-14.1,0,,9.8,SSE,31,07:50,-22.2,71,,SSW,15,1005.3,-19.2,62,,SW,19,1005.2
,2024-10-5,-22.3,-11.6,0,,0.0,NNE,26,13:09,-14.2,46,,NNE,13,995.9,-12.6,53,,ENE,11,992.3
,2024-10-6,-14.3,-7.1,0,,0.0,NE,63,19:47,-11.0,65,,S,7,981.6,-7.8,54,,ENE,26,976.7
,2024-10-7,-12.2,-7.8,0,,0.5,NNE,91,11:01,-8.4,74,,NNE,61,975.7,-8.5,76,,NNE,59,979.7
,2024-10-8,-13.4,-9.8,0,,11.1,NE,39,23:24,-12.0,46,,S,13,988.6,-11.0,58,,SW,15,987.7
,2024-10-9,-13.8,-8.3,0,,0.0,NNE,31,21:41,-11.0,76,,NNE,7,983.4,-9.0,75,,W,4,981.6
,2024-10-10,-11.1,-7.6,0,,0.3,NNE,43,00:49,-9.5,77,8,NE,17,986.6,-8.6,60,,NNE,22,988.2
,2024-10-11,-12.6,-7.3,0,,11.5,S,20,20:38,-8.2,38,,ENE,7,993.1,-7.8,54,,SW,11,994.7
,2024-10-12,-15.5,-11.2,0,,3.2,WSW,26,07:23,-13.6,74,,SW,17,999.7,-12.3,77,,SW,17,1001.4
,2024-10-13,-15.9,-11.3,0,,12.4,ESE,20,06:05,-11.9,47,,NNE,13,999.7,-12.0,57,,NNW,13,996.8
,2024-10-14,-18.8,-5.5,0,,9.2,NNE,35,20:45,-13.1,44,,SW,9,988.3,-12.9,50,,WNW,11,986.9
,2024-10-15,-15.5,-1.7,0,,1.2,NE,100,22:38,-5.8,56,,ENE,43,983.2,-4.0,69,,NE,70,983.7
,2024-10-16,-5.6,-0.6,0,,0.0,NE,96,23:55,-1.6,43,,ENE,52,989.7,-1.1,49,,ENE,39,990.6
,2024-10-17,-4.2,-2.7,0,,4.3,ENE,69,00:44,-3.6,31,7,ENE,13,996.0,-3.7,48,,SSW,22,994.1
,2024-10-18,-11.4,-5.3,0,,13.1,NNE,52,08:50,-6.8,41,,N,30,990.2,-6.3,44,,N,13,989.9
,2024-10-19,-13.1,-6.2,0,,15.2,NE,30,01:49,-8.4,35,,NNW,7,986.1,-6.9,41,,SW,15,985.1
,2024-10-20,-16.6,-9.5,0,,15.0,NE,31,00:43,-12.1,32,,WSW,7,991.1,-10.3,41,,SSW,17,992.4
,2024-10-21,-14.1,-9.0,0,,14.1,NNE,67,07:43,-11.3,44,,NE,43,1001.1,-9.7,58,,NNE,31,1004.6
,2024-10-22,-15.6,-8.0,0,,15.5,SSW,24,16:39,-10.6,39,,WNW,7,1003.7,-8.3,46,,SW,15,1002.3
,2024-10-23,-15.2,-8.8,0,,15.7,N,26,10:31,-11.9,47,1,N,9,997.1,-9.6,50,,NNW,9,993.3
,2024-10-24,-14.3,-5.2,0,,15.7,NNE,50,09:34,-10.0,42,3,NNE,28,994.9,-6.5,41,,N,30,996.4
,2024-10-25,-13.1,-4.5,0,,16.0,NNE,43,12:25,-7.6,26,1,ENE,26,999.1,-6.2,41,,SW,15,998.2
,2024-10-26,-13.5,-5.3,0,,16.4,NNE,59,09:31,-8.9,32,,NNE,31,999.0,-6.4,40,,WNW,11,998.6
,2024-10-27,-12.3,-3.8,0,,16.1,ENE,30,02:41,-5.9,38,,NE,13,994.3,-4.5,50,,WSW,13,990.7
,2024-10-28,-11.8,-3.6,0,,6.9,NNE,28,07:36,-7.3,52,,N,11,991.0,-4.7,61,,NNE,9,993.4
,2024-10-29,-8.1,,0,,,,,,-4.8,45,7,NNE,30,999.3,-4.9,67,7,N,20,1000.0
