,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,-16.2,-9.9,0,,8.5,ENE,39,23:31,-13.5,38,,E,22,994.6,-11.4,41,,ESE,15,992.5
,2024-09-2,-16.2,-9.1,0,,9.2,E,57,04:00,-13.3,37,,E,20,984.1,-11.8,32,,ESE,35,981.3
,2024-09-3,-19.9,-14.4,0,,9.2,ENE,56,01:23,-17.4,39,,E,17,989.1,-15.9,38,,S,13,993.5
,2024-09-4,-19.0,-13.0,0,,9.1,ESE,26,02:38,-16.3,45,,ESE,13,996.7,-13.7,45,,SE,11,995.1
,2024-09-5,-18.6,-15.7,0,,0.0,NE,39,12:02,-17.0,52,,N,13,982.1,-16.7,59,,N,17,982.0
,2024-09-6,-18.2,-12.8,0,,0.0,NE,46,14:05,-15.5,55,,ENE,26,981.4,-13.8,59,,NE,30,980.7
,2024-09-7,-16.2,-12.3,0,,0.0,NE,61,10:35,-12.9,64,,NE,39,981.7,-12.5,68,,NNE,39,982.4
,2024-09-8,-15.0,-12.1,0,,6.4,NE,50,01:00,-13.8,63,,NE,15,986.3,-13.5,64,,ENE,19,986.9
,2024-09-9,-17.1,-13.9,0,,0.4,NNE,48,21:33,-15.3,57,,NNE,24,986.1,-15.1,53,,NE,24,985.0
,2024-09-10,-17.4,-12.3,0,,0.0,NNE,33,17:25,-16.2,61,,ENE,6,979.0,-12.6,59,,SW,4,977.0
,2024-09-11,-16.8,-15.2,0,,4.3,NE,28,10:57,-16.0,56,,NE,15,984.1,-16.1,49,,NE,17,985.9
,2024-09-12,-20.5,-15.5,0,,4.6,NE,22,00:13,-18.6,44,,E,9,984.0,-18.3,51,,N,9,979.9
,2024-09-13,-23.0,-14.2,0.6,,0.0,ESE,30,18:49,-15.4,78,,E,17,966.4,-15.0,59,,E,11,965.7
,2024-09-14,-19.3,-9.9,0,,3.7,NE,56,21:22,-18.7,62,,NNE,35,975.0,-17.5,70,,NNE,33,976.7
,2024-09-15,-19.0,-11.3,0,,0.0,NE,87,08:15,-11.5,73,,NE,50,970.5,-11.6,69,,NNE,24,972.8
,2024-09-16,-22.7,-19.3,0.6,,2.0,W,28,23:58,-21.5,70,,N,13,978.7,-19.7,58,,NE,15,979.9
,2024-09-17,-25.4,-17.2,0,,7.1,SSW,20,05:15,-21.1,65,,SE,7,980.1,-20.4,60,,WSW,6,982.2
,2024-09-18,-26.0,-18.7,0,,9.0,NE,35,12:42,-22.0,52,,ESE,9,984.0,-19.0,57,,N,15,985.5
,2024-09-19,-26.7,-19.1,0,,10.9,SE,24,01:39,-22.6,49,,NNE,7,994.1,-19.8,44,,SSE,9,994.2
,2024-09-20,-27.3,-22.1,0,,11.3,E,30,20:37,-23.4,39,,E,13,989.1,-22.3,36,,WNW,6,985.6
,2024-09-21,-27.3,-21.1,0,,11.3,ENE,26,03:59,-22.9,42,,ENE,13,981.8,-22.2,44,,N,6,981.7
,2024-09-22,-27.0,-21.1,0,,0.0,NNE,33,19:48,-23.9,67,,N,19,985.9,-23.8,67,,NE,22,988.8
,2024-09-23,-25.7,-8.1,0,,0.0,NE,94,19:37,-20.8,77,,NNE,56,994.9,-17.5,79,,NNE,41,991.2
,2024-09-24,-21.1,-7.3,,,0.0,NE,157,14:57,-8.1,86,,NE,106,966.6,-8.5,87,,NE,111,967.5
,2024-09-25,-10.6,-7.8,,,,NE,119,06:36,-9.3,87,,NNE,74,986.2,-8.5,87,,NNE,70,989.7
,2024-09-26,-9.6,-6.3,,,5.9,NE,94,00:10,-7.8,52,,NE,46,997.5,-6.8,44,,NE,30,997.9
,2024-09-27,-14.5,-8.4,0,,0.0,ENE,43,23:45,-9.6,48,,NNE,19,995.8,-9.1,46,,NNE,13,993.4
,2024-09-28,-15.9,-10.1,0,,8.1,NNE,39,12:14,-11.6,43,,NE,7,990.0,-11.3,50,,NNE,24,990.7
,2024-09-29,-18.1,-14.3,0,,11.8,N,31,12:56,-15.7,47,,N,9,997.1,-15.5,46,,N,11,996.9
,2024-09-30,-22.1,-16.4,0,,,W,24,12:38,-18.6,51,,N,6,996.2,-17.8,72,7,W,15,996.2
