,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,4.1,7.6,0.6,,4.0,E,106,13:20,5.4,98,3,NW,13,1030.2,5.3,94,2,NE,9,1029.3
,2024-08-2,3.7,5.1,1.4,,0.0,W,57,18:02,4.3,97,6,W,20,1029.5,4.8,98,7,W,33,1026.8
,2024-08-3,3.9,5.8,0.8,,0.0,NW,37,11:33,5.1,98,8,NW,26,1023.3,5.3,97,8,NW,19,1018.8
,2024-08-4,4.4,5.8,1.0,,0.1,NW,61,23:35,4.4,91,8,W,41,1003.6,3.4,87,8,WNW,39,1002.2
,2024-08-5,3.3,6.2,0.8,,0.1,NW,106,17:24,5.8,90,8,NNW,50,990.5,6.0,96,8,NNW,76,975.1
,2024-08-6,2.3,5.8,6.2,,2.3,WNW,74,01:03,3.7,72,3,W,39,992.6,3.8,79,5,NW,24,994.4
,2024-08-7,1.5,5.2,8.6,,1.0,SSE,102,11:50,5.1,98,8,NW,39,982.8,1.2,84,8,SSE,65,996.0
,2024-08-8,-1.3,6.7,1.2,,0.0,N,69,12:24,1.3,72,8,N,35,1018.0,4.2,96,8,N,39,1012.6
,2024-08-9,1.2,7.0,0.8,,0.0,NNW,70,22:25,6.5,96,8,N,46,1004.8,5.7,95,6,NW,46,1000.7
,2024-08-10,5.0,6.2,9.2,,0.0,NW,63,15:26,5.7,99,,NNW,46,996.0,5.7,97,8,NW,44,990.9
,2024-08-11,2.5,4.2,3.6,,4.5,W,72,15:17,3.3,89,5,W,35,994.6,2.9,89,7,WNW,35,995.0
,2024-08-12,-0.6,5.7,2.0,,0.9,N,56,17:09,0.3,78,7,SW,7,1015.7,3.0,92,8,N,31,1012.6
,2024-08-13,0.3,6.5,4.0,,0.0,NW,74,17:52,5.3,99,8,NW,35,1001.9,6.3,99,8,NNW,56,995.7
,2024-08-14,4.8,5.4,0.8,,0.0,NW,69,00:28,5.0,95,,WNW,39,997.7,4.9,98,,NNW,20,997.0
,2024-08-15,-0.9,3.1,6.2,,5.0,W,78,18:56,0.3,64,7,W,31,1005.7,2.7,66,3,W,52,1006.9
,2024-08-16,-0.1,3.3,1.6,,4.4,W,76,00:09,1.8,66,7,W,37,1007.2,2.0,68,5,W,28,1004.9
,2024-08-17,-1.3,2.0,1.8,,2.9,S,81,12:24,0.1,87,5,SE,33,987.5,-0.7,78,8,SSW,31,998.1
,2024-08-18,-2.2,1.2,1.6,,0.5,W,98,05:45,0.7,70,8,W,54,988.3,-2.3,80,,WSW,48,984.7
,2024-08-19,-6.7,4.4,1.4,,0.0,SSW,72,00:29,-3.0,75,8,SW,22,1001.8,-0.1,70,7,W,31,1000.7
,2024-08-20,-3.0,5.8,2.0,,0.0,WNW,63,14:07,4.4,,8,W,39,998.9,4.2,95,8,WNW,48,998.7
,2024-08-21,3.5,6.4,2.0,,0.0,N,83,21:57,4.4,96,8,NW,31,1006.3,5.4,92,8,N,41,1001.2
,2024-08-22,4.3,6.0,6.2,,0.3,NNW,67,00:20,5.1,99,8,NNW,28,987.8,5.3,97,8,N,35,985.6
,2024-08-23,3.0,5.4,0.4,,5.3,WNW,70,05:00,4.0,74,8,WNW,43,988.9,4.5,76,6,WNW,31,991.5
,2024-08-24,0.8,3.5,3.0,,3.6,W,69,19:02,2.0,90,,W,24,993.3,2.1,68,7,S,20,996.6
,2024-08-25,-0.8,5.0,5.0,,2.5,W,70,13:05,1.3,95,8,W,37,997.6,2.3,77,7,WNW,31,1002.5
,2024-08-26,1.2,6.3,2.8,,1.4,N,69,23:27,5.0,92,7,N,20,1002.3,5.4,89,8,N,35,994.5
,2024-08-27,4.3,7.4,8.8,,1.8,NW,109,21:55,4.9,90,1,NW,44,979.5,6.5,97,8,NNW,61,972.7
,2024-08-28,4.2,5.4,2.6,,0.8,NW,85,00:14,5.0,89,6,NNW,30,975.0,5.1,93,,N,26,972.3
,2024-08-29,2.9,6.5,0.6,,6.9,ESE,72,04:59,4.4,90,7,N,9,973.1,5.1,81,1,WNW,17,975.7
,2024-08-30,1.6,6.4,0.6,,2.3,N,76,22:22,3.5,87,6,NNW,24,981.3,4.9,86,8,NNE,20,975.1
,2024-08-31,3.4,6.6,0,,1.0,W,81,20:21,6.1,88,5,N,41,968.3,6.2,94,8,N,39,963.7
