,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,1.1,4.8,1.0,,1.7,W,94,04:03,3.7,87,6,W,46,1001.5,3.5,90,6,W,37,1002.0
,2024-07-2,2.6,5.6,1.0,,0.0,W,63,04:36,2.8,91,5,W,35,1014.4,4.3,92,8,W,37,1016.6
,2024-07-3,2.6,5.8,0.4,,0.0,WNW,65,10:12,5.6,93,8,WNW,46,1018.8,5.5,97,8,WNW,39,1018.5
,2024-07-4,4.5,5.6,0.8,,0.0,NW,80,19:24,5.0,94,8,WNW,52,1012.1,5.2,94,8,NW,57,1006.1
,2024-07-5,1.0,4.8,2.2,,0.4,W,102,17:05,1.7,87,8,W,56,1000.3,1.6,78,6,W,69,1002.1
,2024-07-6,-0.2,5.3,4.8,,0.0,W,115,21:33,4.6,91,7,W,56,1000.5,4.8,87,8,WNW,39,1000.2
,2024-07-7,3.2,4.9,2.0,,0.0,W,87,00:49,3.9,91,8,W,37,1007.9,4.3,95,8,W,46,1008.6
,2024-07-8,3.9,6.3,2.0,,0.7,NW,63,16:17,4.8,89,6,WNW,35,1018.6,4.7,91,6,NW,41,1019.2
,2024-07-9,4.2,6.5,0.8,,0.0,NNW,74,13:50,6.2,97,8,NNW,48,1013.4,6.5,97,8,NNW,59,1009.3
,2024-07-10,4.0,6.7,1.8,,0.2,W,69,02:36,4.2,96,1,WNW,30,1026.1,4.7,98,8,NW,30,1029.2
,2024-07-11,3.9,6.7,0.2,,0.0,N,65,16:42,6.2,97,8,N,41,1025.0,6.5,98,8,N,48,1020.1
,2024-07-12,6.0,7.4,10.6,,0.0,NNW,61,16:23,6.5,98,,N,43,1013.9,6.5,99,,NNW,41,1012.9
,2024-07-13,6.0,7.4,8.8,,0.0,NNW,81,12:42,7.0,98,8,NNW,54,1004.0,6.4,87,8,NW,56,1006.4
,2024-07-14,4.2,5.0,1.2,,0.0,NW,33,03:25,4.8,91,8,NW,15,1021.9,4.0,93,4, ,Calm,1022.4
,2024-07-15,3.0,4.0,0,,0.0,SSE,22,23:09,3.9,92,8,S,9,1019.0,2.7,94,7,S,7,1016.3
,2024-07-16,1.2,4.8,0.2,,0.0,SE,54,14:05,3.2,97,8,SSE,35,1014.7,3.3,92,8,SE,44,1014.2
,2024-07-17,3.1,4.4,3.0,,0.0,SSE,35,01:47,4.1,93,,ESE,20,1020.2,3.8,94,8,ESE,15,1019.8
,2024-07-18,3.2,5.8,0.6,,0.8,N,33,11:17,3.5,92,8,N,9,1017.5,4.3,93,6,NE,9,1014.1
,2024-07-19,3.5,7.4,1.8,,0.0,N,72,00:00,5.1,98,0,N,19,1004.0,6.2,98,8,N,26,999.9
,2024-07-20,5.0,6.4,10.6,,0.0,N,78,00:23,5.9,99,,N,28,989.1,5.7,99,,NE,4,988.5
,2024-07-21,3.7,6.9,6.2,,0.0,W,72,03:06,5.1,86,6,WNW,39,995.8,5.5,95,,NW,28,997.3
,2024-07-22,4.5,6.7,2.6,,1.1,N,63,02:07,4.8,85,6,W,26,1001.8,6.0,90,7,WNW,35,1005.0
,2024-07-23,4.8,6.8,2.6,,0.1,N,98,06:29,6.4,88,,NW,46,995.0,5.0,83,3,W,31,999.3
,2024-07-24,3.9,6.1,5.2,,1.6,W,67,06:49,4.4,78,3,W,43,997.1,4.2,81,6,WNW,35,1000.2
,2024-07-25,3.9,7.0,2.4,,0.0,N,56,00:12,5.6,97,8,NNW,20,993.2,3.9,97,8,SSE,28,989.0
,2024-07-26,2.1,5.7,19.8,,1.2,S,85,01:22,4.4,92,,N,41,995.5,4.9,85,8,W,28,998.4
,2024-07-27,4.2,6.2,1.6,,1.0,NW,61,10:16,5.7,94,3,NNW,35,996.0,2.7,89,8,SSE,15,1000.1
,2024-07-28,-0.5,2.4,0.6,,1.6,S,46,20:26,2.1,72,6,SW,26,1008.7,0.9,83,7,SSE,19,1011.0
,2024-07-29,-0.3,5.5,1.4,,2.5,S,52,02:37,0.4,71,,SE,19,1023.0,1.2,76,6,SSW,13,1027.3
,2024-07-30,0.7,5.9,1.4,,0.0,SSW,56,01:40,5.4,97,8,SW,43,1030.0,5.4,97,7,WNW,39,1030.2
,2024-07-31,5.3,5.9,0.8,,1.8,W,59,16:47,5.6,99,8,SE,31,1029.6,4.3,97,6, ,Calm,1029.1
