,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,0.8,7.3,2.4,,1.0,W,104,08:35,1.6,80,5,W,56,987.6,2.9,72,7,W,57,998.3
,2024-06-2,0.1,7.3,1.8,,0.0,WNW,117,10:21,7.2,89,8,NW,72,990.5,5.1,86,8,W,89,997.2
,2024-06-3,3.9,6.9,1.6,,0.0,W,76,00:04,6.7,95,8,WNW,43,1016.0,6.5,97,8,WNW,37,1017.3
,2024-06-4,5.3,7.5,0.8,,0.0,NNW,63,23:33,5.9,99,,NW,22,1017.5,6.4,96,8,NNW,35,1012.3
,2024-06-5,5.9,7.2,7.6,,0.0,W,72,13:51,6.8,98,8,NNW,41,998.9,4.7,81,4,WSW,33,1002.4
,2024-06-6,3.5,7.6,2.2,,0.0,NW,87,06:49,6.6,93,8,NW,65,1005.8,7.2,96,8,WNW,54,1005.9
,2024-06-7,4.1,7.4,1.2,,1.4,W,83,05:51,4.2,76,6,WSW,35,1010.5,3.7,,6,,,
,2024-06-8,3.3,8.3,0.6,,0.0,NW,113,19:29,7.2,94,,NNW,69,1000.2,7.5,95,8,NW,69,990.8
,2024-06-9,1.0,5.2,1.4,,1.9,NW,80,20:48,1.1,84,6,W,26,1000.6,1.9,74,3,WNW,26,999.1
,2024-06-10,0.7,5.7,2.0,,1.5,NW,81,02:25,3.4,76,5,W,24,986.3,0.8,76,6,SSW,22,993.6
,2024-06-11,-0.2,7.8,2.0,,0.4,N,104,19:41,5.7,92,8,NNW,46,997.0,5.5,80,8,N,48,991.7
,2024-06-12,3.9,4.2,4.2,,0.5,N,74,00:10,3.8,84,,W,44,982.9,2.9,58,6,W,30,991.7
,2024-06-13,1.1,3.4,0.4,,2.0,SW,41,21:12,1.9,66,6,SW,11,1002.4,2.3,66,4,SSW,20,1007.0
,2024-06-14,1.0,3.6,2.6,,0.7,S,37,00:44,3.2,89,6,SSW,9,1020.2,2.8,87,4,SSW,13,1021.1
,2024-06-15,1.7,5.9,0.8,,4.8,S,39,07:47,3.1,96,5,SSE,28,1025.1,5.3,74,1,SSE,24,1024.0
,2024-06-16,2.7,4.8,0.4,,1.2,W,48,10:37,4.2,94,7,W,13,1020.1,4.1,90,6,SSE,13,1018.5
,2024-06-17,0.6,5.3,0.2,,0.1,W,61,19:58,2.3,85,,W,31,1021.5,4.7,92,6,W,41,1021.6
,2024-06-18,2.4,5.3,0.8,,0.0,NNW,46,23:04,4.6,93,6,WNW,31,1024.9,3.5,96,8,NW,26,1024.4
,2024-06-19,3.3,5.2,0.4,,0.0,NNW,52,03:47,4.9,84,,NNW,37,1022.0,4.9,86,7,NW,31,1021.1
,2024-06-20,3.7,5.6,0,,0.0,NNW,54,05:29,4.5,86,7,NW,41,1018.1,5.4,92,7,NW,28,1017.0
,2024-06-21,3.7,6.2,0.6,,,NW,54,08:53,4.6,97,,NNW,44,1013.0,5.9,97,,NW,37,1010.1
,2024-06-22,4.7,5.4,2.2,,0.4,W,63,16:51,5.2,90,,W,28,1008.4,3.4,80,5,W,30,1011.7
,2024-06-23,1.9,6.5,0.2,,0.4,NW,59,14:31,4.5,74,7,WNW,33,1021.8,4.4,89,7,NW,43,1019.9
,2024-06-24,4.1,6.5,0.2,,0.0,NNW,48,22:30,6.4,99,8,NNW,33,1018.6,6.2,99,8,NW,30,1018.1
,2024-06-25,5.6,6.0,0.4,,0.0,NW,46,01:37,5.9,99,,WNW,35,1019.9,5.7,98,8,WNW,26,1021.5
,2024-06-26,4.3,6.0,0.8,,1.9,N,48,19:25,4.5,93,7,N,20,1025.0,4.3,95,7,N,24,1023.4
,2024-06-27,4.0,6.5,0.4,,0.0,N,46,02:57,6.0,98,8,N,24,1014.1,6.0,98,8,N,13,1009.8
,2024-06-28,4.8,6.8,0.6,,1.5,W,37,19:36,5.3,98,7,NNE,2,1004.3,4.7,97,6,W,13,1004.5
,2024-06-29,4.0,6.9,0.8,,0.0,N,72,16:38,4.8,94,8,NNW,31,1003.8,6.5,97,8,N,50,993.4
,2024-06-30,0.0,4.1,15.8,,2.9,W,80,06:54,1.2,68,1,W,46,999.0,3.5,66,5,W,46,998.8
