,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,3.3,4.9,1.8,,0.4,W,96,18:58,3.7,74,7,W,43,999.8,3.8,65,7,W,59,998.5
,2024-05-2,2.1,6.0,1.0,,2.3,W,109,10:08,4.5,67,5,W,69,998.7,3.7,79,7,WSW,39,1003.2
,2024-05-3,2.9,6.4,1.8,,0.7,W,91,07:35,5.9,84,5,W,54,1008.7,6.3,86,8,W,61,1008.0
,2024-05-4,5.7,6.6,1.6,,0.0,NW,72,00:00,6.1,97,8,WNW,43,1006.3,6.3,96,8,WNW,54,1003.2
,2024-05-5,5.5,5.5,4.6,,1.5,W,104,18:26,5.5,96,8,W,46,996.2,3.4,72,6,W,50,998.7
,2024-05-6,0.2,6.4,1.4,,0.0,W,85,00:57,4.3,88,8,NW,59,1006.4,5.8,96,8,WNW,37,1001.6
,2024-05-7,3.8,6.2,1.8,,0.3,W,102,16:32,5.9,88,7,NW,56,1001.7,5.2,69,7,W,63,1003.3
,2024-05-8,1.5,5.8,3.0,,1.7,NW,104,23:37,3.6,66,3,W,41,1023.2,4.7,74,8,WNW,43,1022.3
,2024-05-9,3.3,4.8,2.2,,0.0,NW,113,01:39,3.6,76,7,W,69,1007.3,3.1,72,8,W,69,1010.7
,2024-05-10,2.6,6.2,1.4,,3.7,W,83,00:14,3.7,80,5,W,48,1021.4,3.9,80,6,W,43,1020.1
,2024-05-11,3.1,6.6,1.8,,,W,87,14:07,6.1,98,8,WNW,26,1018.4,5.9,98,8,W,63,1016.6
,2024-05-12,5.0,6.4,0.2,,,W,98,03:33,6.1,94,8,W,57,1014.6,4.5,95,8,W,24,1016.1
,2024-05-13,4.5,6.9,2.0,,,NNW,74,21:23,6.3,97,8,NW,46,1010.8,6.2,98,8,NNW,57,1004.9
,2024-05-14,6.1,6.6,5.2,,,NNW,93,23:22,6.4,98,8,N,43,988.3,3.8,83,5,W,43,994.9
,2024-05-15,2.9,6.6,14.6,,,NNW,98,00:30,6.4,97,8,NNW,63,981.4,4.8,95,8,WNW,39,975.2
,2024-05-16,1.9,5.9,15.4,,,NNW,91,13:39,3.4,80,5,WNW,37,995.8,5.4,94,8,NNW,63,984.3
,2024-05-17,1.3,3.2,7.8,,,W,96,08:06,2.7,70,7,W,57,985.0,1.7,52,3,W,46,995.6
,2024-05-18,-0.3,5.6,2.4,,0.3,WNW,83,04:22,2.1,85,5,W,59,998.9,3.7,92,8,NW,37,997.5
,2024-05-19,2.0,4.4,6.8,,0.0,SSE,59,05:49,2.3,91,8,SSE,41,1003.2,1.3,86,7,W,28,1006.1
,2024-05-20,1.1,6.0,0.8,,0.0,NW,76,23:03,3.6,76,7,W,37,1013.7,4.2,84,7,WNW,41,1013.5
,2024-05-21,3.4,5.8,0.2,,0.0,NW,76,02:25,5.7,96,7,W,56,1009.3,4.7,96,8,W,52,1009.9
,2024-05-22,4.0,6.5,1.0,,0.0,NNW,76,23:48,4.5,98,8,NW,37,1007.4,5.9,99,8,NW,33,1001.9
,2024-05-23,1.2,4.8,2.8,,2.1,NW,94,01:29,3.3,71,6,W,59,995.7,3.1,64,6,W,54,997.4
,2024-05-24,-0.4,4.7,2.2,,1.2,W,109,13:28,4.2,79,6,W,61,997.9,3.5,74,5,W,57,997.3
,2024-05-25,0.5,2.6,2.6,,0.0,W,120,02:00,0.8,56,7,SW,44,999.9,0.8,61,7,SW,39,1003.6
,2024-05-26,0.0,4.8,0.2,,2.2,W,91,14:55,2.4,65,7,WSW,28,1009.0,2.4,85,8,W,50,1007.1
,2024-05-27,2.2,5.1,0.2,,0.0,W,70,04:08,4.8,93,8,W,46,1003.1,4.8,96,,SSW,7,1003.0
,2024-05-28,4.1,5.6,2.0,,0.0,WSW,37,01:14,4.8,95,6,NW,11,999.6,5.3,98,8,WNW,13,995.7
,2024-05-29,4.0,6.9,3.0,,1.7,W,89,06:07,4.1,83,3,W,52,997.3,5.3,89,5,WNW,31,998.6
,2024-05-30,4.0,8.3,8.6,,1.2,NW,91,08:42,6.2,93,7,WNW,69,983.2,4.8,80,4,W,44,993.2
,2024-05-31,3.6,8.0,5.8,,0.4,NW,96,10:20,7.5,88,5,NW,61,979.3,7.3,94,7,NNW,43,977.2
