,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,4.6,5.5,1.6,,0.8,NW,87,00:15,5.2,89,8,NNW,28,989.4,2.9,93,8,S,33,985.3
,2024-10-2,2.8,6.8,6.6,,5.1,NNW,76,19:40,4.9,63,7,W,28,1012.2,4.4,71,7,NW,46,1014.9
,2024-10-3,4.2,6.5,1.0,,2.3,NW,65,00:27,6.0,96,8,WSW,26,1019.1,5.5,75,5,W,19,1022.8
,2024-10-4,4.9,6.9,0,,0.0,NNW,56,22:10,5.8,96,8,NW,35,1023.3,6.4,94,8,NW,26,1020.3
,2024-10-5,5.3,7.4,0,,0.0,N,63,12:13,6.2,97,8,N,31,1007.8,7.0,97,8,N,26,999.8
,2024-10-6,6.1,7.7,1.0,,0.0,WSW,83,11:41,6.4,99,,NNW,30,990.8,5.9,88,8,S,13,992.4
,2024-10-7,3.2,8.5,1.4,,6.2,S,67,22:48,6.2,92,,N,30,993.3,7.3,90,8,N,28,989.8
,2024-10-8,1.0,3.6,1.8,,0.0,S,69,23:46,1.4,73,8,S,44,1000.7,2.3,66,8,S,28,1003.8
,2024-10-9,0.9,6.6,0.2,,1.4,NNW,74,15:12,5.2,77,,NW,39,1005.7,5.3,87,8,NNW,54,1001.5
,2024-10-10,3.5,6.7,6.6,,0.0,NW,74,12:00,6.4,97,8,NW,50,991.3,6.5,94,8,NW,57,988.9
,2024-10-11,3.4,7.3,3.2,,7.4,W,78,03:47,4.7,87,5,W,43,986.0,7.1,81,7,NW,43,987.6
,2024-10-12,0.0,6.0,3.0,,1.6,W,74,01:43,0.0,79,6,WSW,39,998.8,2.4,67,8,W,28,1004.2
,2024-10-13,-0.2,7.1,1.6,,0.6,NNW,87,16:25,5.8,96,,NW,46,1004.3,6.2,89,8,NNW,63,995.3
,2024-10-14,0.0,4.0,6.8,,0.0,W,104,15:12,1.3,75,8,W,65,993.5,1.7,67,7,W,63,1002.4
,2024-10-15,0.8,7.0,0,,3.2,W,85,08:48,3.9,77,8,W,56,1018.9,5.9,76,6,WNW,46,1020.5
,2024-10-16,2.8,6.8,0.2,,0.0,NNW,93,21:11,5.6,83,8,WNW,48,1017.9,6.5,87,8,NW,48,1012.3
,2024-10-17,5.3,7.4,0.8,,4.0,NNW,94,23:20,6.0,80,2,WNW,63,1003.7,5.3,89,8,WNW,59,1004.6
,2024-10-18,4.0,7.6,1.0,,1.5,W,59,23:37,6.0,85,8,WNW,35,1015.4,6.8,84,6,NW,22,1015.3
,2024-10-19,5.5,7.1,0.8,,0.0,NNW,52,08:33,6.5,98,,NNW,41,1012.6,6.9,98,8,NNW,41,1011.5
,2024-10-20,5.9,6.7,2.0,,1.3,W,63,14:45,6.3,99,8,W,30,1005.0,5.2,97,8,W,41,1006.0
,2024-10-21,4.5,7.4,1.0,,7.0,W,76,18:26,6.4,91,8,WNW,46,1005.7,6.2,70,5,W,52,1006.6
,2024-10-22,3.8,6.8,1.2,,0.0,NNW,76,17:08,5.0,94,,N,28,1003.1,6.6,97,8,NNW,54,990.6
,2024-10-23,4.2,5.7,4.6,,2.2,WNW,107,01:32,5.4,89,8,NW,78,972.5,4.3,80,6,W,74,980.1
,2024-10-24,0.6,1.7,0.4,,0.0,SW,102,10:45,1.1,63,8,W,19,992.7,0.7,67,8,S,19,995.6
,2024-10-25,-0.8,4.0,0,,0.9,W,106,09:27,0.6,59,,W,20,1010.7,1.4,88,7,W,28,1012.6
,2024-10-26,-0.3,5.9,0.2,,0.1,WSW,65,23:06,3.9,62,,NW,28,1021.0,5.3,71,7,N,31,1020.0
,2024-10-27,3.4,7.4,0.2,,2.9,N,52,22:25,5.3,76,,N,35,1017.7,6.0,77,8,N,28,1015.6
,2024-10-28,4.5,7.8,0,,7.0,N,59,06:17,6.3,75,5,N,35,1008.9,7.3,74,5,N,31,1005.5
,2024-10-29,5.0,,0.6,,,,,,5.5,97,,NNW,50,991.9,4.1,91,8,WNW,33,986.7
