,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,1.1,5.8,0,,0.0,WNW,100,15:46,4.8,81,8,N,54,962.6,5.6,95,8,NW,41,951.5
,2024-09-2,3.8,6.6,1.6,,6.0,NW,65,02:16,5.8,89,4,NNW,26,972.5,5.8,91,7,NNW,20,972.4
,2024-09-3,1.1,6.1,0.2,,6.1,NNW,74,21:13,2.1,71,7,W,33,991.5,1.7,78,7,W,33,994.8
,2024-09-4,0.6,6.0,3.2,,0.0,WNW,81,02:50,4.5,85,8,WNW,31,989.8,5.0,94,8,NW,31,989.7
,2024-09-5,4.5,6.6,2.4,,0.1,WNW,87,23:58,5.8,98,8,NW,43,987.4,5.7,95,8,NW,35,986.0
,2024-09-6,4.5,5.9,3.6,,1.2,WNW,106,03:42,5.3,86,7,WNW,48,986.1,5.8,91,6,WNW,28,987.8
,2024-09-7,3.4,4.8,3.8,,1.6,W,96,14:32,3.6,90,8,W,43,977.0,2.1,74,8,W,57,984.6
,2024-09-8,-0.1,6.0,0.8,,1.8,N,83,19:23,3.6,67,7,NNW,24,992.0,5.1,91,8,N,48,985.0
,2024-09-9,3.6,6.1,4.8,,1.4,W,93,13:57,6.0,95,8,NNW,33,966.9,2.5,75,6,W,50,972.6
,2024-09-10,-2.0,6.4,0.4,,4.6,W,85,05:43,1.6,51,6,W,41,995.4,2.1,81,7,WNW,39,999.9
,2024-09-11,-0.4,6.2,5.8,,1.3,N,89,01:14,5.4,85,8,WNW,56,986.0,5.1,92,8,W,43,988.5
,2024-09-12,1.2,6.1,2.8,,6.2,NNW,67,22:30,3.1,62,1,W,13,1013.2,4.6,69,7,NNW,39,1009.8
,2024-09-13,3.0,6.3,3.6,,7.5,NNW,69,00:41,5.4,84,3,WNW,43,1002.5,5.5,81,4,WNW,39,1003.4
,2024-09-14,1.4,4.9,2.4,,3.8,WNW,72,19:20,3.5,61,7,W,39,1011.1,2.7,69,7,W,39,1012.3
,2024-09-15,1.8,5.4,0.2,,0.0,NNW,89,15:09,4.8,84,8,WNW,50,1001.8,4.9,90,8,NW,65,989.0
,2024-09-16,-1.8,4.8,3.4,,4.1,W,106,11:08,0.2,65,8,W,52,985.9,-2.0,82,8,SSW,20,986.0
,2024-09-17,-3.2,5.9,2.2,,0.0,NNW,89,08:37,4.8,93,8,NNW,61,977.5,5.6,92,8,WNW,44,972.5
,2024-09-18,3.1,6.6,4.4,,3.4,W,98,15:54,4.8,79,8,NW,28,974.0,6.5,95,8,NNW,52,962.0
,2024-09-19,0.4,6.2,2.4,,7.1,N,81,23:53,2.8,79,3,WNW,43,976.5,4.4,80,7,NW,39,976.1
,2024-09-20,0.5,5.6,10.2,,5.0,N,100,01:58,4.4,79,6,NW,35,965.4,4.7,72,6,NW,50,964.8
,2024-09-21,1.5,5.7,0.8,,6.6,WNW,78,02:00,3.9,63,4,WNW,39,980.6,4.0,69,6,WSW,17,982.8
,2024-09-22,0.7,6.5,0,,2.4,N,100,10:14,5.6,80,8,N,35,979.4,6.3,81,3,NW,31,979.0
,2024-09-23,2.8,6.5,2.6,,2.1,W,83,22:43,5.9,82,7,NNW,30,979.1,5.2,86,8,ESE,24,971.5
,2024-09-24,0.7,6.2,4.0,,2.1,,,,3.8,68,5,W,67,987.0,2.9,52,7,W,72,994.2
,2024-09-25,0.6,7.2,2.4,,0.9,W,117,23:34,,,8,,,,5.9,91,8,NNW,74,962.9
,2024-09-26,-0.2,2.4,11.0,,5.8,W,113,00:16,1.0,63,7,W,54,985.7,1.9,57,5,W,44,988.6
,2024-09-27,-1.5,6.9,0.4,,0.4,NW,78,15:26,1.4,61,8,W,35,1003.6,4.0,88,8,NNW,57,997.8
,2024-09-28,1.3,6.7,2.4,,4.5,WNW,106,10:15,5.9,78,2,WNW,63,992.6,2.7,71,6,W,67,1000.8
,2024-09-29,2.5,7.5,0.2,,0.3,WSW,69,00:01,4.4,69,8,W,11,1013.5,4.3,91,8,N,30,1009.5
,2024-09-30,3.6,7.4,2.4,,2.1,NW,120,20:04,6.7,93,8,NW,76,982.9,6.9,89,7,NNW,57,986.6
