,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,-19.5,-11.3,,,4.4,SE,80,20:30,-16.3,34,,SE,50,1005.2,-16.7,35,,SE,44,1006.3
,2024-08-2,-17.8,-6.0,,,0.0,SE,148,22:59,-11.7,32,,SE,83,995.0,-11.1,34,,SE,89,987.3
,2024-08-3,-12.5,-1.5,,,0.0,SE,161,03:04,-8.6,88,,SE,117,981.8,-7.6,88,,SE,93,992.0
,2024-08-4,-8.8,-0.4,,,0.0,ESE,135,20:03,-2.3,82,,ESE,87,1005.2,-3.1,85,,ESE,96,1009.5
,2024-08-5,-4.4,-1.5,,,4.5,ESE,109,00:55,-2.2,58,,E,37,1018.2,-3.7,53,,SE,56,1020.1
,2024-08-6,-5.8,-0.6,,,5.7,SE,83,23:46,-3.6,36,,SE,43,1017.0,-8.0,55,,NE,20,1016.8
,2024-08-7,-10.9,-1.7,,,5.7,SSE,144,15:53,-9.0,53,,S,7,1011.8,-4.1,41,,SSE,85,1001.4
,2024-08-8,-11.3,-8.0,,,5.1,SSE,133,23:44,-8.0,33,4,SE,50,1002.9,-13.6,48,,ESE,44,1004.4
,2024-08-9,-15.1,-7.4,,,0.0,SE,111,15:47,-11.6,41,,SE,52,994.7,-8.4,39,,SE,76,992.6
,2024-08-10,-13.4,-10.4,,,0.0,SE,102,23:20,-11.3,59,,SE,61,994.2,-12.6,77,,SE,74,996.1
,2024-08-11,-13.3,-9.9,,,0.0,SE,115,21:17,-11.8,57,,SE,69,1001.1,-10.8,42,,SE,80,1000.4
,2024-08-12,-14.0,-8.0,,,1.1,SE,141,11:00,-12.2,48,,SE,104,994.9,-11.6,41,,SE,106,993.1
,2024-08-13,-13.4,-6.6,,,0.0,SE,144,23:52,-8.6,46,,SE,91,991.1,-8.8,44,,SE,81,992.7
,2024-08-14,-12.3,-7.7,,,2.3,SSE,117,10:52,-11.6,34,8,SSE,81,988.4,-10.7,32,,SSE,56,992.1
,2024-08-15,-13.2,-10.7,,,0.6,SE,126,20:33,-10.8,37,8,SE,72,997.1,-12.3,39,,SE,69,995.0
,2024-08-16,-13.5,-9.6,,,0.0,SE,131,09:19,-11.7,40,,SE,87,976.9,-9.9,34,,SE,85,972.6
,2024-08-17,-12.5,-10.1,,,6.2,SE,94,23:27,-12.2,44,7,SSE,44,972.9,-13.0,45,,SSW,28,970.5
,2024-08-18,-15.7,-9.6,,,7.1,SE,63,05:14,-11.5,51,,SSE,33,989.7,-10.6,46,,W,11,995.6
,2024-08-19,-15.3,-8.9,,,0.3,SSE,44,03:19,-13.9,44,,NE,9,995.3,-10.1,39,,S,15,994.0
,2024-08-20,-14.9,-9.0,,,0.0,SE,78,17:01,-11.1,51,,ESE,2,991.5,-10.4,37,,SE,56,990.5
,2024-08-21,-12.0,-10.5,,,0.0,SE,56,02:54,-11.5,54,,SE,41,990.4,-12.2,51,,SSE,39,989.7
,2024-08-22,-15.0,-12.5,,,0.0,SE,69,18:31,-13.1,44,,SE,43,990.5,-13.7,48,,SE,50,991.6
,2024-08-23,-16.3,-14.6,,,0.0,SE,67,23:38,-16.1,45,,SE,46,994.0,-15.6,40,,SE,39,994.9
,2024-08-24,-21.3,-16.1,,,8.0,SSE,63,06:06,-19.2,43,,SSE,37,999.8,-17.7,45,,ESE,33,1003.1
,2024-08-25,-20.5,-11.5,,,7.8,SE,72,19:30,-17.9,51,,SW,11,1004.4,-17.5,55,,NNW,6,1002.2
,2024-08-26,-20.1,-10.9,,,0.0,SE,61,23:12,-13.2,39,,ESE,33,995.0,-13.5,47,,NNE,11,997.8
,2024-08-27,-16.6,-7.4,,,1.4,SSE,46,02:54,-15.7,44,,E,6,1015.1,-13.1,39,,SSE,6,1016.9
,2024-08-28,-16.6,-8.6,,,0.0,E,94,10:42,-10.6,57,,ENE,41,1005.9,-10.6,83,,E,44,1004.3
,2024-08-29,-12.2,-8.9,,,0.0,SE,98,17:59,-12.3,59,,SE,41,992.3,-11.1,65,,SE,57,985.3
,2024-08-30,-12.9,-8.9,,,0.0,SE,91,01:09,-10.0,55,,SE,50,985.0,-9.3,42,8,SE,48,988.3
,2024-08-31,-12.5,-8.5,,,0.0,SE,78,03:17,-11.7,42,,SE,54,995.2,-9.7,47,,SE,43,996.8
