,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,-9.4,-3.5,,,0.0,,167,02:42,-6.3,62,,,,994.5,-5.2,46,,,,994.5
,2024-07-2,-12.0,-8.4,,,0.0,,83,23:03,-11.8,45,,,,995.1,-12.0,46,,,,994.3
,2024-07-3,-17.1,-14.9,,,0.0,,50,01:14,-15.8,42,,,,996.5,,,2, ,Calm,996.9
,2024-07-4,-19.3,-10.4,,,0.0,ESE,91,16:22,-18.0,45,,,,1000.8,-14.8,35,,SE,63,1000.1
,2024-07-5,-19.1,-12.4,,,0.0,ESE,80,23:05,-16.5,58,,WSW,7,1005.2,-18.2,58,,E,9,1008.2
,2024-07-6,-20.4,-13.5,,,0.0,NW,30,05:57,-15.6,47,,S,7,1010.5,-18.5,63,,SW,6,1009.5
,2024-07-7,-20.8,-13.9,,,0.0,WSW,19,23:25,-17.6,59,,WSW,6,1019.9,-16.0,68,, ,Calm,1018.8
,2024-07-8,-19.0,-13.9,,,0.0,NE,43,06:07,-16.1,77,,SSW,19,997.8,-17.5,83,,S,9,990.9
,2024-07-9,-22.9,-16.2,,,1.0,S,89,03:53,-19.2,58,,SW,15,977.7,-18.2,46,,SSE,9,978.3
,2024-07-10,-24.0,-21.6,,,0.0,SE,67,12:50,-21.9,40,,SSE,19,993.0,-22.9,35,,SE,48,991.5
,2024-07-11,-26.7,-24.5,,,0.0,SE,67,00:13,-25.3,47,,ESE,20,979.9,-26.0,39,,SE,44,977.4
,2024-07-12,-28.3,-21.8,,,2.3,SSE,93,20:40,-25.9,44,,S,4,968.2,-26.3,51,,SSW,9,966.2
,2024-07-13,-29.6,-24.7,,,0.0,SE,96,04:30,-26.3,37,,SSE,57,980.4,-27.6,46,,ESE,7,983.9
,2024-07-14,-31.0,-20.6,,,2.2,SSE,111,17:32,-28.0,52,,SSE,6,980.2,-24.8,70,,SSW,39,982.8
,2024-07-15,-29.3,-15.1,,,2.6,WSW,69,22:36,-26.1,52,,SE,2,990.8,-27.5,63,,SSW,9,984.4
,2024-07-16,-29.4,-20.0,,,2.6,SSE,87,00:47,-23.2,49,,NNE,19,970.0,-22.9,43,,SSE,44,970.2
,2024-07-17,-24.3,-10.7,,,2.9,SSE,81,23:10,-23.9,36,,S,13,992.4,-25.3,50,,WSW,13,997.8
,2024-07-18,-26.5,-7.0,,,,SSE,120,08:43,-13.3,41,,SSE,93,1009.8,-14.5,39,,ENE,6,1017.7
,2024-07-19,-20.1,-5.7,,,3.3,SSW,72,09:20,-11.3,31,,W,20,1006.3,-10.3,45,,SE,31,1004.8
,2024-07-20,-16.8,-8.3,,,0.3,SSE,63,12:54,-13.1,46,,ENE,26,1001.4,-14.5,47,,SW,20,1004.1
,2024-07-21,-18.2,-4.9,,,3.4,SSE,126,12:16,-10.5,30,,NE,15,1001.1,-10.9,36,,SW,28,995.9
,2024-07-22,-15.7,-14.6,,,3.7,S,106,01:52,-16.8,38,,ESE,50,985.2,-20.7,38,,SSE,50,988.8
,2024-07-23,-23.4,-21.5,,,3.9,SE,80,02:05,-23.1,32,,SE,57,1005.1,-23.3,38,,SSE,35,1007.8
,2024-07-24,-25.4,-15.7,,,3.9,SSE,85,21:56,-23.2,40,,SW,6,1011.9,-21.4,34,,S,43,1010.4
,2024-07-25,-24.6,-16.7,,,4.0,SSE,91,00:03,-19.5,39,,SSE,59,1003.2,-21.1,41,,SSE,72,1000.5
,2024-07-26,-21.7,-9.2,,,4.1,SSE,83,05:12,-18.7,40,,SSE,69,1004.3,-15.0,43,,S,46,1005.1
,2024-07-27,-20.4,-4.8,,,3.0,SSE,139,17:52,-10.0,38,,SSE,87,1002.6,-9.4,37,,SSE,100,1001.2
,2024-07-28,-12.7,-3.4,,,4.4,SSE,135,02:23,-10.4,35,,NNE,19,1015.6,-6.4,16,,SSW,15,1012.9
,2024-07-29,-15.4,-4.8,,,4.6,SSE,70,00:12,-9.6,43,,ESE,39,1001.3,-10.7,49,,WSW,13,999.2
,2024-07-30,-15.7,-8.7,,,4.8,SE,93,13:55,-12.5,46,1,NE,15,997.1,-15.0,53,,ESE,57,997.4
,2024-07-31,-16.8,-15.6,,,3.5,SE,91,04:07,-17.0,37,,SE,59,997.3,-17.3,36,,SE,57,996.4
