,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,-10.0,-5.5,,,0.0,SE,143,03:43,-9.3,81,,SE,106,976.1,-8.0,67,,ESE,72,978.4
,2024-06-2,-10.6,-7.0,,,,S,76,03:37,-8.7,42,,S,31,986.1,-10.9,45,,S,28,987.5
,2024-06-3,-16.8,-14.0,,,0.4,SE,61,02:27,-17.0,49,,S,31,991.3,-17.5,46,,S,28,991.2
,2024-06-4,-20.6,-16.8,,,0.1,,67,20:42,-19.0,39,,,,990.8,-20.0,45,,,,988.8
,2024-06-5,-22.6,-18.0,,,0.0,,91,17:25,-21.0,37,,,,982.8,-20.2,38,,,,983.8
,2024-06-6,-22.9,-17.2,,,0.0,SE,78,21:27,-20.2,52,,,,991.9,-22.7,51,,,,994.5
,2024-06-7,-23.6,-11.9,,,0.0,,131,22:48,-17.2,58,8,SE,50,998.7,-16.2,65,,,,994.9
,2024-06-8,-17.3,-10.8,,,0.0,,180,07:33,-13.0,85,,,,966.8,-13.2,82,,,,963.2
,2024-06-9,-15.1,-11.8,,,0.0,,104,01:11,-14.9,47,,,,982.7,-17.8,54,,,,989.4
,2024-06-10,-18.4,-8.2,,,0.0,,113,11:21,-12.3,76,,,,989.8,-12.5,70,,,,988.1
,2024-06-11,-12.9,-7.8,,,0.0,,107,04:25,-9.9,53,,,,966.4,-9.8,45,,,,964.0
,2024-06-12,-12.8,-7.5,,,0.0,,91,05:04,-9.6,52,,,,976.2,-8.5,54,,,,983.4
,2024-06-13,-14.0,-13.1,,,0.0,,72,21:01,-13.9,58,,,,994.6,-13.8,43,,,,998.5
,2024-06-14,-16.9,-16.1,,,0.0,,100,22:25,-17.3,67,,,,998.8,-16.8,41,,,,1000.0
,2024-06-15,-19.7,-17.3,,,0.0,,96,23:27,-17.5,48,,,,1004.2,-19.6,47,,,,1006.0
,2024-06-16,-22.9,-19.7,,,0.0,,69,10:46,-21.8,42,,,,1012.6,-20.9,36,,,,1013.4
,2024-06-17,-24.3,-19.8,,,0.0,,57,13:41,-23.0,43,,,,1007.9,-22.5,46,,,,1005.3
,2024-06-18,-24.1,-20.3,,,0.0,,61,03:43,-22.5,45,,,,1000.4,-23.5,42,,,,1001.2
,2024-06-19,-26.3,-17.6,,,0.0,,65,00:28,-25.0,41,,,,1004.5,-23.7,38,,,,1004.0
,2024-06-20,-26.4,-13.9,,,0.0,,157,13:41,-17.1,80,,,,983.1,-16.7,81,,,,977.5
,2024-06-21,-18.3,-17.5,,,,,106,23:14,-19.5,51,,,,987.9,-19.8,43,,,,987.6
,2024-06-22,-24.2,-16.7,,,0.0,,113,22:35,-22.7,36,,,,990.2,-22.6,44,,,,990.0
,2024-06-23,-24.7,-14.2,,,0.0,,154,06:52,-16.1,69,,,,970.9,-16.0,72,,,,976.5
,2024-06-24,-21.9,-18.8,,,0.0,,74,13:48,-21.9,50,,,,981.3,-22.8,60,,,,986.1
,2024-06-25,-23.3,-18.6,,,0.0,,72,02:33,-19.3,42,,,,992.4,-19.9,50,,,,993.4
,2024-06-26,-24.8,-21.5,,,0.0,,72,20:06,-24.3,48,,,,991.9,-24.2,42,,,,991.5
,2024-06-27,-26.5,-23.2,,,0.0,,70,23:07,-25.3,47,,,,993.8,-25.9,45,,,,996.3
,2024-06-28,-28.4,-21.9,,,0.0,,65,22:45,-28.1,44,,,,1000.6,-27.4,42,,,,1000.7
,2024-06-29,-28.6,-8.7,,,0.0,,119,19:36,-21.3,65,,,,987.2,-16.8,72,,,,980.5
,2024-06-30,-22.4,-6.4,,,0.0,,156,14:57,-8.4,86,,,,981.6,-7.8,89,,,,982.8
