,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,-25.1,-4.5,,,0.0,SE,150,06:37,-6.0,36,,SE,111,972.3,-5.2,38,,SE,85,972.7
,2024-05-2,-9.8,-5.8,,,0.0,SE,148,14:20,-9.6,87,,SE,96,977.4,-6.7,45,,SE,107,980.6
,2024-05-3,-10.0,-7.2,,,0.0,SE,111,02:38,-7.8,47,,SE,67,992.9,-9.6,50,,SE,56,995.3
,2024-05-4,-16.2,-11.7,,,1.4,SSE,63,06:07,-15.4,43,,SE,46,996.8,-13.0,49,,E,22,995.4
,2024-05-5,-17.7,-15.7,,,0.0,SE,85,22:50,-16.2,37,,SSE,37,984.9,-17.1,35,,SSE,39,984.3
,2024-05-6,-20.0,-18.5,,,0.0,SE,83,02:24,-20.4,42,,SE,65,988.1,-19.7,45,,SE,67,990.8
,2024-05-7,-20.5,-17.5,,,0.0,SE,87,01:14,-18.5,34,,SE,54,997.3,-19.2,40,,SSE,20,998.7
,2024-05-8,-20.5,-17.2,,,3.9,SE,63,19:08,-19.3,46,,SSE,20,995.8,-19.5,46,,SE,22,994.2
,2024-05-9,-23.2,-16.7,,,4.6,SE,63,05:18,-21.8,35,,SSE,24,989.7,-21.8,35,,SE,35,988.1
,2024-05-10,-23.2,-14.9,,,0.0,SE,89,12:08,-17.8,29,,SE,63,981.1,-15.4,24,,SE,61,982.0
,2024-05-11,-21.9,-18.8,,,4.4,SSE,67,00:44,-21.5,41,,SE,30,988.6,-21.7,42,,SSE,28,990.4
,2024-05-12,-23.9,-19.1,,,5.1,SSE,61,01:40,-23.8,40,,SSE,26,990.3,-22.9,42,,SE,20,988.5
,2024-05-13,-24.2,-16.8,,,0.0,SE,70,20:58,-23.7,43,,SE,56,985.1,-22.6,44,,SE,57,985.7
,2024-05-14,-23.9,-11.9,,,0.0,SE,81,13:52,-16.2,59,,ESE,24,982.0,-12.6,48,,SE,67,979.4
,2024-05-15,-17.0,-14.7,,,1.6,SE,83,18:12,-17.2,46,,SE,50,977.0,-15.8,40,,SE,59,978.2
,2024-05-16,-20.5,-18.6,,,1.5,SE,72,02:54,-21.0,38,,S,52,978.0,-20.9,35,,SE,54,978.4
,2024-05-17,-23.9,-19.8,,,4.0,SE,65,02:14,-22.6,36,,SE,35,977.2,-23.3,42,,S,7,980.6
,2024-05-18,-25.1,-17.2,,,0.0,SE,96,16:30,-21.0,37,,SE,72,994.0,-21.1,36,,SE,76,996.4
,2024-05-19,-21.7,-18.9,,,1.1,ESE,69,23:40,-19.9,40,,SSE,9,997.6,-21.8,41,,SSE,22,996.1
,2024-05-20,-24.8,-19.6,,,0.0,ESE,43,19:53,-23.2,35,,SE,9,991.1,-23.8,44,,W,6,990.0
,2024-05-21,-24.6,-14.7,,,0.0,ENE,28,13:04,-21.9,58,,NNE,6,989.2,-22.9,60,,ENE,9,987.1
,2024-05-22,-24.3,-15.3,,,0.0,SSE,67,16:07,-18.3,36,,SW,15,975.5,-18.8,37,,E,13,971.1
,2024-05-23,-21.2,-18.9,,,3.4,S,67,02:34,-20.4,33,,SSE,43,970.2,-23.1,42,,SSE,28,973.4
,2024-05-24,-25.8,-22.6,,,2.4,SE,59,02:56,-23.2,33,,ESE,22,987.5,-23.9,38,,SW,9,989.6
,2024-05-25,-25.7,-17.8,,,3.0,SSE,46,11:36,-24.1,51,,SSW,7,979.7,-23.3,64,,SW,13,975.3
,2024-05-26,-25.3,-8.2,,,0.0,SE,98,20:02,-20.0,32,,W,15,977.4,-16.4,33,,SE,56,979.1
,2024-05-27,-21.2,-8.2,,,0.0,ESE,181,10:48,-9.4,88,,E,120,959.7,-11.7,84,,ESE,85,964.5
,2024-05-28,-13.1,-6.0,,,0.0,SE,102,22:16,-8.1,70,,ESE,54,987.7,-7.6,75,,SE,67,989.9
,2024-05-29,-9.3,-5.1,,,0.0,SE,150,15:08,-6.2,90,,SE,85,980.2,-6.5,89,,ESE,104,975.2
,2024-05-30,-6.8,-3.8,,,0.0,SE,128,23:22,-5.5,88,,SE,87,980.2,-4.6,82,,SE,83,981.6
,2024-05-31,-5.7,-4.9,,,0.0,ESE,130,02:06,-5.6,87,,ESE,87,984.6,-5.9,91,,E,98,983.6
