,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,-23.7,-20.3,,,4.1,SE,70,09:15,-21.1,46,,SE,54,990.4,-20.5,40,,ESE,54,989.5
,2024-10-2,-25.5,-18.3,,,12.0,SSE,65,03:28,-23.7,41,,SSE,46,988.7,-18.7,35,,WSW,11,992.2
,2024-10-3,-26.3,-17.0,,,6.5,ESE,74,22:33,-21.7,31,,SE,43,999.2,-18.9,39,,E,26,1002.0
,2024-10-4,-22.5,-13.3,,,0.0,ESE,156,12:05,-17.0,80,,ESE,89,994.4,-15.5,79,,ESE,85,991.8
,2024-10-5,-17.1,-9.3,,,0.0,SE,150,07:44,-13.3,81,,SE,113,980.6,-12.2,84,,SE,96,980.6
,2024-10-6,-13.7,-9.2,,,0.9,SE,122,01:20,-9.9,31,,SE,80,976.9,-10.6,39,,SE,63,976.8
,2024-10-7,-15.1,-10.1,,,0.0,SE,81,16:53,-13.4,49,,SE,57,977.0,-10.8,53,,SE,52,978.9
,2024-10-8,-13.9,-9.1,,,1.2,SE,87,04:16,-11.2,58,,SE,63,985.7,-9.5,51,,SE,48,987.5
,2024-10-9,-13.6,-9.0,,,12.4,SE,72,00:06,-12.3,41,,SE,43,987.0,-10.2,44,6,NE,13,986.1
,2024-10-10,-19.2,-12.6,,,11.3,SSE,54,02:28,-15.1,32,,SE,39,988.8,-12.8,40,,SE,22,991.3
,2024-10-11,-19.5,-12.2,,,12.1,SE,56,08:32,-15.3,37,,SE,35,999.0,-12.6,47,,NW,15,999.5
,2024-10-12,-18.6,-13.0,,,11.6,SE,69,08:18,-15.6,38,,SE,54,1000.8,-13.2,42,,ESE,44,1002.8
,2024-10-13,-19.2,-11.0,,,0.0,SE,96,19:36,-16.3,49,,ESE,61,998.4,-11.7,48,,ESE,61,994.3
,2024-10-14,-15.7,-8.0,,,0.0,SE,98,06:26,-10.2,44,,SE,61,982.6,-8.4,42,,SE,70,981.3
,2024-10-15,-11.8,-5.4,,,5.5,SE,124,22:02,-9.0,28,,SE,63,984.1,-5.8,25,,SE,70,982.3
,2024-10-16,-10.5,-0.6,,,0.4,SE,143,20:51,-6.7,83,,ESE,76,986.7,-3.2,52,,SE,91,985.4
,2024-10-17,-7.5,-1.3,,,0.0,SE,126,02:31,-1.8,44,,SE,80,990.0,-1.9,49,,ESE,52,993.3
,2024-10-18,-6.9,-3.3,,,7.7,SE,41,22:26,-4.2,57,, ,Calm,994.7,-3.9,56,,SW,7,992.5
,2024-10-19,-9.8,-6.2,,,2.3,SE,63,04:18,-8.4,43,,SE,39,988.4,-6.6,40,,E,28,989.7
,2024-10-20,-13.3,-7.7,,,8.5,SE,61,07:30,-12.1,38,4,SE,48,992.3,-8.3,52,,E,20,994.7
,2024-10-21,-14.6,-9.8,,,13.1,SE,78,06:59,-13.8,32,1,SE,63,999.4,-10.4,38,,E,39,1003.0
,2024-10-22,-15.4,-9.5,,,12.5,SE,70,23:04,-12.0,43,,SSE,20,1009.3,-10.4,34,,N,9,1008.4
,2024-10-23,-16.9,-9.8,,,7.9,SE,56,04:35,-13.1,37,,E,28,998.3,-10.6,46,,NE,28,994.3
,2024-10-24,-14.2,-7.6,,,5.6,SE,72,19:24,-10.2,35,,E,37,992.7,-8.5,38,,ESE,43,994.4
,2024-10-25,-13.0,-7.0,,,14.8,SE,74,00:19,-10.6,31,,SE,54,999.9,-7.4,38,,ESE,33,1000.4
,2024-10-26,-14.7,-7.9,,,14.8,SE,61,02:59,-11.6,38,,SE,43,1001.3,-8.6,45,,ENE,24,1003.1
,2024-10-27,-14.0,-5.5,,,15.4,SE,67,06:31,-8.7,34,,SE,30,999.8,-6.3,42,,WNW,11,998.4
,2024-10-28,-14.2,-6.5,,,14.8,SE,72,01:19,-8.9,32,,NNW,15,994.5,-7.0,37,0,WSW,9,996.3
,2024-10-29,-15.9,,,,,,,,-11.5,35,,SE,46,1000.7,-9.1,38,4,ENE,20,1000.8
