,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,-13.7,-10.4,,,8.7,SSE,50,11:56,-12.8,45,,SE,19,1000.6,-11.8,48,,SSW,11,999.7
,2024-09-2,-18.4,-13.2,,,9.3,SSE,67,21:57,-15.5,38,,E,15,989.0,-13.9,39,,SE,39,985.6
,2024-09-3,-19.8,-14.7,,,5.4,SE,70,14:16,-16.9,38,,SE,28,991.6,-17.1,41,,ESE,46,994.2
,2024-09-4,-18.6,-16.2,,,0.0,ESE,67,23:30,-17.1,57,,ESE,44,999.0,-16.6,68,,ESE,39,995.6
,2024-09-5,-17.5,-15.8,,,6.9,ESE,72,02:16,-17.3,51,,SE,54,983.6,-16.9,48,,SE,28,984.1
,2024-09-6,-21.3,-17.1,,,9.3,SE,72,04:07,-19.4,46,,SE,56,984.0,-18.7,44,,SE,41,985.6
,2024-09-7,-22.9,-17.7,,,9.5,SE,61,09:44,-22.1,42,,SSE,43,988.8,-19.4,39,,SE,43,990.4
,2024-09-8,-26.6,-18.9,,,9.3,SSE,80,01:15,-24.1,45,,SSE,37,993.1,-20.7,48,,E,11,991.9
,2024-09-9,-25.2,-17.0,,,8.2,SE,106,21:13,-22.3,58,,SSE,54,985.1,-18.2,52,,SE,61,983.2
,2024-09-10,-23.3,-15.7,,,0.0,SE,104,23:55,-17.4,46,,SE,57,979.4,-15.8,44,,SE,41,979.9
,2024-09-11,-19.5,-16.4,,,4.9,SE,69,18:11,-19.6,54,,SE,41,983.2,-16.9,55,,SE,39,984.9
,2024-09-12,-19.8,-15.5,,,6.6,SE,72,01:44,-18.0,45,,SE,56,985.1,-16.9,44,,SE,35,983.6
,2024-09-13,-23.2,-17.3,,,10.3,SSE,52,00:29,-20.7,43,,ESE,4,976.5,-18.5,50,,WNW,7,975.3
,2024-09-14,-23.6,-19.1,,,8.7,SE,65,10:01,-20.6,30,,SE,48,973.4,-20.0,36,,SE,43,976.8
,2024-09-15,-26.7,-19.3,,,10.6,SE,63,00:34,-25.1,42,,SSE,28,985.2,-19.4,33,,WNW,6,984.5
,2024-09-16,-26.1,-18.4,,,10.6,SSE,81,22:24,-21.4,40,,SE,43,978.6,-19.5,42,,SE,44,979.7
,2024-09-17,-24.8,-15.7,,,10.7,SSE,85,23:02,-20.2,38,,S,19,989.3,-18.8,47,, ,Calm,990.5
,2024-09-18,-23.1,-15.0,,,10.4,ESE,67,06:21,-19.1,39,,ESE,44,994.1,-15.8,41,,W,11,995.5
,2024-09-19,-22.9,-15.2,,,10.9,ESE,56,01:11,-18.3,37,,SE,44,996.5,-16.5,42,,E,11,996.5
,2024-09-20,-24.1,-17.5,,,11.1,SSE,61,21:35,-21.7,51,, ,Calm,994.3,-21.3,43,,NNE,9,991.8
,2024-09-21,-26.3,-19.1,,,11.0,SE,63,06:15,-20.3,31,,S,30,986.2,-20.0,40,,NNE,13,987.2
,2024-09-22,-26.6,-19.4,,,10.5,SSE,74,02:34,-22.8,37,,SE,50,989.3,-20.0,39,,E,20,990.8
,2024-09-23,-23.7,-15.2,,,11.1,SE,106,10:20,-21.8,37,,SSE,63,993.4,-21.2,41,,SE,72,992.9
,2024-09-24,-23.9,-9.8,,,3.3,SE,102,01:56,-14.0,45,,SE,54,976.5,-11.0,43,,SE,56,969.6
,2024-09-25,-16.2,-8.1,,,0.0,SE,126,12:38,-11.7,72,,SE,54,976.1,-10.8,85,,ESE,70,975.6
,2024-09-26,-12.2,-7.0,,,0.0,SE,126,06:50,-8.3,86,,ESE,94,985.4,-7.8,81,,ESE,93,990.2
,2024-09-27,-11.7,-6.9,,,11.6,SE,81,23:04,-8.9,39,,SE,43,998.6,-8.0,48,,WSW,9,997.4
,2024-09-28,-16.8,-10.7,,,11.8,SE,69,22:34,-14.6,44,,ESE,41,995.1,-12.9,52,,W,6,995.7
,2024-09-29,-20.5,-14.5,,,11.6,SSE,67,23:42,-18.4,41,,SSE,37,999.3,-15.1,33,,SE,43,1000.3
,2024-09-30,-23.1,-16.9,,,12.0,SE,52,21:20,-20.0,46,,SSE,19,1000.6,-17.7,36,,E,15,998.2
